Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30
Net Income,1,2.11,-1.52,-8.4,-2.87,-0.8,-1.21,5.55,-4.64,3.27,0.54,1.51,-4.73,-3.03,-1.23,-2.88,-0.68,-4.78,-3.55,-1.11,0.21,0.22,-18.9,-1.07,-1.8,-4.42,-1.48,-0.51,-2.03,-2.3,1.21,0.37,0.25,-0.16,-2.25,-1.55
Depreciation & Amortization,0,0.14,0.18,0.2,0.22,0.24,0.24,0.24,0.23,0.29,0.24,0.39,0.17,0.34,0.23,0.33,0.12,0.2,0.2,0.22,0.23,0.21,0.2,0.21,0.28,0.26,0.24,0.25,0.24,0.27,0.27,0.26,0.23,0.24,0.21,-
Share-Based Compensation,0.06,0.06,0.06,0.06,0.04,0.03,0.05,0.07,0.07,0.07,0.16,0.24,0.24,0.24,0.23,0.24,0.25,0.25,0.26,0.23,0.23,0.25,0.18,0.22,0.24,0.24,0.21,0.21,0.2,0.2,0.1,0,0,0,0,-
Other Operating Activities,-7.08,-28.69,2.67,1.19,-5.91,7.87,3.39,-6.83,0.85,2.34,0.66,-10.74,8.33,10.47,8.33,4.29,-1.89,-5.17,2.71,-2.55,-4.58,-9.1,28.66,4.06,5.21,3.88,1.99,2.33,4.56,8.52,-6.66,-4.26,-2.12,7.28,2.24,1.54
Operating Cash Flow,-6.02,-26.38,1.38,-6.95,-8.53,7.34,2.47,-0.97,-3.49,5.98,1.61,-8.62,4.02,8.02,7.57,1.98,-2.2,-9.5,-0.39,-3.21,-3.91,-8.42,10.15,3.43,3.93,-0.05,0.97,2.27,2.98,6.69,-4.97,-3.42,-1.43,7.59,0.21,-
Operating Cash Flow Growth,-,-,-44.05%,-,-,22.85%,53.92%,-,-,-25.45%,-78.78%,-,-,-,-,-,-,-,-,-,-,-,946.60%,51.15%,31.92%,-,-,-,-,-11.85%,-,-,-,-,-,-
Capital Expenditures,0,0,0,0,0,0.02,0,0,-0.02,0.06,-0.01,-0,-0.05,0.02,-0,0,-0.02,-0.02,-0.04,-0.01,-0.02,-0.01,-0,0.01,-0.01,-0.05,-0.01,-0.12,-0.02,-0.04,-0.04,-0.05,-0.04,-0.09,-0.07,-
Acquisitions,-0.93,30.32,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32,0,0,0,0,-
Change in Investments,0.47,6.11,6.38,12.25,1.45,-7.06,0.37,1.31,1.75,-5.4,-1.13,3.27,-4.09,-33.43,3.93,3.13,1.35,0.82,-0.8,5.83,6.47,-11.17,-7.16,-2.02,-5.59,0.55,-5.91,-5.11,-0.08,-10.24,0.61,-5.08,0.9,-17.62,-19.35,-
Other Investing Activities,-,-,-,-,-,0.1,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-0.47,36.42,6.38,12.25,1.45,-3.94,0.37,3.21,1.73,-5.33,-1.14,3.27,-4.13,-33.41,3.93,3.13,1.33,0.8,-0.85,5.82,6.45,-11.18,-7.17,-2.01,-5.6,0.5,-5.92,-5.23,-0.11,-10.28,-0.75,-5.14,0.86,-17.71,-19.42,-
Share Issuance / Repurchase,0,-0,0,5.01,0,-0,-0,-0.01,0,-0,-0.02,-0.01,-0,-0,-0.07,4.9,-0.51,-0.64,0,0,0,0.64,4.36,0,0,0,-0.17,-0.22,-0.23,0,35.32,0,0.75,12.43,7.75,-
Debt Issued / Paid,0,-17.42,14.5,-5,5,-1,0,-2,-2,0,2.29,2.07,0.76,2,-1,-0.01,1,5.13,0.67,0,0,0.99,12.64,-0.75,-0.63,3.5,-0.5,1.5,0.5,3,-17.71,-0.75,0.65,-0.53,15.45,-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.45,-,-,-,-1.01,-,-,-,-,-,-,-,-0.29,-6.9,-1.27,-0.14,0.52,4.65,-
Financing Cash Flow,0,-17.42,14.5,0.01,5,-1,-0,-2.01,-2,-0,2.28,2.06,0.75,2,-1.06,4.9,0.49,3.04,0.67,0,0,0.62,17,-0.75,-0.63,3.5,-0.67,1.28,0.27,2.71,10.7,-2.02,1.26,12.42,27.85,-
Net Cash Flow,-6.49,-7.38,22.27,5.31,-2.08,2.41,2.84,0.24,-3.76,0.64,2.74,-3.29,0.64,-23.39,10.44,10,-0.38,-5.66,-0.56,2.61,2.54,-18.98,19.98,0.67,-2.3,3.95,-5.63,-1.68,3.14,-0.88,4.98,-10.58,0.69,2.3,8.64,-
Free Cash Flow,-6.02,-26.38,1.38,-6.95,-8.53,7.36,2.47,-0.97,-3.51,6.04,1.59,-8.62,3.97,8.04,7.57,1.98,-2.22,-9.51,-0.43,-3.22,-3.93,-8.42,10.15,3.44,3.92,-0.1,0.96,2.15,2.96,6.65,-5.01,-3.48,-1.47,7.5,0.14,-
Free Cash Flow Growth,-,-,-44.05%,-,-,21.92%,55.28%,-,-,-24.90%,-78.96%,-,-,-,-,-,-,-,-,-,-,-,957.08%,59.69%,32.55%,-,-,-,-,-11.38%,-,-,-,-,-,-
Free Cash Flow Margin,-24.48%,-92.56%,5.25%,-28.14%,-33.62%,26.79%,9.25%,-2.73%,-13.35%,20.13%,5.98%,-34.06%,18.39%,32.11%,31.69%,8.68%,-9.15%,-39.56%,-1.74%,-12.74%,-15.83%,-31.73%,53.57%,13.07%,15.63%,-0.37%,3.95%,9.34%,14.15%,33.35%,-26.32%,-21.52%,-9.42%,43.59%,0.91%,-
Free Cash Flow Per Share,-0.49,-2.16,0.13,-0.71,-0.88,0.76,0.26,-0.10,-0.36,0.62,0.17,-0.90,0.41,0.84,0.79,0.24,-0.26,-1.11,-0.05,-0.38,-0.46,-0.99,1.32,0.45,0.51,-0.01,0.13,0.28,0.39,1.24,-0.88,-0.86,-0.36,2.81,0.06,-
