Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Net Income,9.21,13.14,15.63,14.09,13.6,13.59,13.72,13.72,15.25,12.64,10.56,7.42,6.22,16.09,17.44,14.61,18.74,11.92,17.59
Depreciation & Amortization,1.3,0.89,1.01,1.01,1.01,1.03,1,1.03,1.06,1.07,1.08,1.02,1.01,1,1,1.05,1.08,1.12,-
Share-Based Compensation,0.52,0.35,0.35,0.35,0.9,0.23,0.23,0.18,0.13,0.09,0.1,0.1,0.07,0,0,0,0,0,-
Other Operating Activities,10.46,9.11,1.33,-5.97,5.73,1.48,-11.87,2.21,-9.96,22.53,-4.19,-33.67,5.22,14.7,-0.08,3.61,-0.14,10.59,-17.59
Operating Cash Flow,21.49,23.48,18.31,9.48,21.24,16.33,3.08,17.14,6.48,36.33,7.55,-25.14,12.52,31.79,18.35,19.27,19.68,23.62,-
Operating Cash Flow Growth,1.18%,43.81%,494.13%,-44.66%,228.02%,-55.06%,-59.15%,-,-48.28%,14.26%,-58.88%,-,-36.37%,34.60%,-,-,-,-,-
Capital Expenditures,-0.62,-0.3,-0.18,0.52,0.28,-0.26,-0.2,-0.14,-0.42,-0.4,-0.16,-0.46,-0.84,-0.55,-0.77,-0.07,0.5,-0.54,-
Acquisitions,-14.45,0,0,0,0,-4.77,0,0,0,0,0,0,0,0,0,0,0.11,0,-
Change in Investments,240.07,-21.16,-92.44,-88.34,-133.98,-205.04,-68.57,28.79,-104.82,-70.53,-116.54,-217.01,23.41,43.01,74.96,23.87,-31.14,24.17,-
Other Investing Activities,0.04,-0,0.03,0.15,0.29,4.22,0.35,1.21,0.02,0.29,0.79,0.32,0.68,1.32,3.13,0.46,0.51,0.76,-
Investing Cash Flow,225.04,-21.46,-92.59,-87.67,-133.41,-205.85,-68.41,29.87,-105.22,-70.64,-115.9,-217.16,23.25,43.78,77.32,24.26,-30.02,24.39,-
Dividends Paid,-5.51,-4.63,-4.64,-4.66,-4.66,-4.38,-4.12,-4.12,-4.12,-4.13,-4.13,-4.13,-4.13,-170,-9.37,-9.75,-35.84,-10.85,-
Share Issuance / Repurchase,-1.59,0,-1.43,-2.41,-0.94,-2.58,-0.34,-0.47,-1.51,0,0,0,0,138.49,0,0,0,0,-
Debt Issued / Paid,-179.49,94.95,57.04,0.26,-10.42,-3.3,1.2,4.78,-3.76,0.3,33.3,10.54,-3.62,12.17,-3.38,-4.88,-5.67,0.3,-
Other Financing Activities,3.01,-56.4,-58.51,-113.96,77.9,137.12,-5.08,68.67,225.43,113.87,1.55,284.81,-46.55,72.8,-69.71,-47.68,25.47,56.32,-
Financing Cash Flow,-183.57,33.93,-7.54,-120.76,61.88,126.86,-8.34,68.86,216.03,110.04,30.71,291.22,-54.3,53.46,-82.46,-62.31,-16.03,45.76,-
Net Cash Flow,62.95,35.94,-81.82,-198.95,-50.29,-62.66,-73.67,115.87,117.29,75.73,-77.64,48.93,-18.54,129.03,13.22,-18.78,-26.38,93.77,-
Free Cash Flow,20.88,23.18,18.13,10.01,21.52,16.07,2.88,17,6.06,35.93,7.39,-25.6,11.68,31.25,17.58,19.21,20.17,23.08,-
Free Cash Flow Growth,-2.99%,44.24%,529.36%,-41.15%,255.26%,-55.27%,-61.00%,-,-48.13%,14.99%,-57.97%,-,-42.11%,35.39%,-,-,-,-,-
Free Cash Flow Margin,43.43%,45.70%,40.08%,23.39%,50.57%,37.33%,7.07%,41.84%,13.97%,90.22%,20.10%,-76.66%,37.00%,73.56%,43.90%,48.66%,49.01%,64.82%,-
Free Cash Flow Per Share,0.67,0.81,0.63,0.35,0.74,0.55,0.10,0.62,0.22,1.31,0.27,-0.93,0.42,1.55,0.97,1.06,1.12,1.28,-
