Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.17,0.81,0.11,-0.12,-0.23,-0.14,-0
Other Operating Activities,0.25,0.38,-0.22,0.06,-0.83,0.1,-0.02
Operating Cash Flow,0.42,1.19,-0.11,-0.06,-1.06,-0.04,-0.03
Change in Investments,0,-1.31,0,0,0,-117.3,0
Other Investing Activities,-1.96,-,-,-,-,-,-
Investing Cash Flow,-1.96,-1.31,0,0,0,-117.3,0
Share Issuance / Repurchase,0,0,0,0,0,115,0
Debt Issued / Paid,1.15,0,0,0,0,-0.33,0.1
Other Financing Activities,0.06,0.03,-,-,-,4.43,-0.08
Financing Cash Flow,1.21,0.03,0,0,0,119.1,0.03
Net Cash Flow,-0.33,-0.09,-0.11,-0.06,-1.06,1.76,0
Free Cash Flow,0.42,1.19,-0.11,-0.06,-1.06,-0.04,-0.03
Free Cash Flow Per Share,0.03,0.08,-0.01,-0.00,-0.07,-0.01,-0.01
