Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.52,0.34,0.17,0.45,-0.06,-0,-0
Other Operating Activities,0.56,-0.52,-0.45,-1.35,-0.13,0,0
Operating Cash Flow,0.04,-0.19,-0.27,-0.91,-0.2,-0,0
Share Issuance / Repurchase,-68.17,0,0,0,88.96,0,0
Debt Issued / Paid,0.29,0,0.05,0,0.25,-0.02,0.02
Other Financing Activities,-,-,-,-,-0.5,0.02,-0.02
Financing Cash Flow,-67.87,0,0.05,0,88.71,-0,0
Net Cash Flow,-0.07,-0.19,-0.23,-0.91,1.4,-0,0
Free Cash Flow,0.04,-0.19,-0.27,-0.91,-0.2,-0,0
Free Cash Flow Per Share,0.00,-0.02,-0.03,-0.08,-0.09,-,-
