Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.94,1.92,1.76,3.67,9.35,-0,-0.01
Other Operating Activities,-2.1,-1.98,-1.89,-3.87,-10.05,0,-
Operating Cash Flow,-0.16,-0.06,-0.13,-0.2,-0.7,-0,-0.01
Share Issuance / Repurchase,0,0,0.02,0,226.02,0,0
Debt Issued / Paid,-0,0,0,0,-0.16,0.03,0.13
Other Financing Activities,0,-,-,-0.01,6.58,-0.03,-0.1
Financing Cash Flow,0,0,0.02,-0.01,232.44,0.01,0.02
Net Cash Flow,-0.16,-0.06,-0.11,-0.21,0.59,0,0.01
Free Cash Flow,-0.16,-0.06,-0.13,-0.2,-0.7,-0,-0.01
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.06,-,-0.00
