Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,3.22,1.21,1.31,3.92,2.11,2.64,5.45,-0.16
Other Operating Activities,-3.34,-1.23,-1.59,-3.98,-2.56,-2.26,-8.03,0.16
Operating Cash Flow,-0.12,-0.02,-0.28,-0.05,-0.45,0.39,-2.58,0
Share Issuance / Repurchase,0,0,0,0,0,-15.06,0,0
Debt Issued / Paid,0,0,0,0,0,-0.64,0,0
Other Financing Activities,-,-,-,-,-,14.93,-,-
Financing Cash Flow,0,0,0,0,0,-0.77,0,0
Net Cash Flow,-0.12,-0.02,-0.28,-0.05,-0.45,-0.39,1.56,0
Free Cash Flow,-0.12,-0.02,-0.28,-0.05,-0.45,0.39,-2.58,0
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.00,-0.02,0.03,-0.13,-
