Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,-195,-100,115,-,239,121,373
Depreciation & Amortization,90,-22,87,-,76,65,210
Share-Based Compensation,5,3,2,-,3,2,2
Other Operating Activities,"1,537","1,403",956,-,105,678,-52
Operating Cash Flow,"1,437","1,284","1,160",-,423,866,533
Operating Cash Flow Growth,239.72%,48.27%,117.64%,-,-,-,-
Capital Expenditures,-6,-6,-6,-,-11,-14,-7
Acquisitions,-202,73,-125,-,-261,-631,-468
Change in Investments,"-2,200","-3,232","-2,037",-,"-1,916","-1,772","-1,010"
Investing Cash Flow,"-2,408","-3,165","-2,168",-,"-2,188","-2,417","-1,485"
Dividends Paid,-25,0,0,-,0,0,0
Debt Issued / Paid,455,546,0,-,0,0,400
Other Financing Activities,"1,165",911,"1,400",-,"1,400",764,"1,856"
Financing Cash Flow,"1,595","1,457","1,400",-,"1,400",764,"2,256"
Net Cash Flow,624,-424,392,-,-365,-787,"1,304"
Free Cash Flow,"1,431","1,278","1,154",-,412,852,526
Free Cash Flow Growth,247.33%,50.00%,119.39%,-,-,-,-
Free Cash Flow Margin,164.67%,205.14%,127.94%,-,54.93%,50.30%,56.74%
Free Cash Flow Per Share,11.45,10.38,9.21,-,3.92,8.11,5.01
