Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.25,4.55,0.77,4.52,-,-0.07,-0.06
Other Operating Activities,-0.02,-4.76,-1.24,-4.81,-,-0.13,0.06
Operating Cash Flow,-0.27,-0.21,-0.47,-0.29,-,-0.2,-0
Change in Investments,-2.3,0,0,0,-,0,0
Other Investing Activities,-0.26,0.17,-,-,-,-,-
Investing Cash Flow,-2.56,0.17,0,0,-,0,0
Share Issuance / Repurchase,0,0,0,0,-,0,0.04
Debt Issued / Paid,0,0,0,0,-,0.18,0
Other Financing Activities,0.29,-,-,-,-,-,-
Financing Cash Flow,0.29,0,0,0,-,0.18,0.04
Net Cash Flow,-0.24,-0.03,-0.39,-0.29,-,-0.02,0.04
Free Cash Flow,-0.27,-0.21,-0.47,-0.29,-,-0.2,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.01,-,-0.04,-
