Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.09,-0.06,-0.48,-0.27,-0.01,-0,-0,-0
Other Operating Activities,-0.17,-0.21,0.2,-0.42,-0.07,0,-,-
Operating Cash Flow,-0.08,-0.27,-0.28,-0.68,-0.09,0,-0,-0
Change in Investments,0,0,0,-87.98,0,0,0,0
Investing Cash Flow,0,0,0,-87.98,0,0,0,0
Share Issuance / Repurchase,0,0,0,89.34,0.1,0,0,0
Debt Issued / Paid,0.1,0,0,-0.09,0,0,0,0.06
Other Financing Activities,-,-,-,-0.03,0.03,-,-,-0.09
Financing Cash Flow,0.1,0,0,89.23,0.13,0,0,-0.02
Net Cash Flow,0.02,-0.27,-0.28,0.57,0.04,0,-0,-0.02
Free Cash Flow,-0.08,-0.27,-0.28,-0.68,-0.09,0,-0,-0
Free Cash Flow Per Share,-0.01,-0.02,-0.02,-0.10,-0.04,-,-,-
