Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.17,0.96,-0.31,-0.32,-0.22,-0.01,-0.01
Other Operating Activities,-2.21,-1.17,0.26,0.22,-0.58,0.01,0.01
Operating Cash Flow,-0.04,-0.2,-0.05,-0.1,-0.8,0,0
Share Issuance / Repurchase,0,0,0,0,283.52,0,0
Debt Issued / Paid,0,0,0,0,-0.17,0,0
Other Financing Activities,-,-,-,-,-6.39,-,-
Financing Cash Flow,0,0,0,0,276.96,0,0
Net Cash Flow,-0.04,0.1,-0.05,-0.1,0.16,0,0
Free Cash Flow,-0.04,-0.2,-0.05,-0.1,-0.8,0,0
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.00,-0.09,-,-
