Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,4.01,5.47,4.32,10.17,-1.07,0.32,10.9,-0.95
Other Operating Activities,-4.14,-5.61,-4.58,-10.55,1,-0.98,-12.38,-0.3
Operating Cash Flow,-0.12,-0.14,-0.27,-0.37,-0.07,-0.66,-1.48,-1.25
Change in Investments,493.74,0.04,0.07,0.03,0,0,0,-500
Investing Cash Flow,493.74,0.04,0.07,0.03,0,0,0,-500
Share Issuance / Repurchase,-492.18,0,0,0,0,0,0.01,500
Debt Issued / Paid,0.07,0,0.2,0.45,0,0.55,0.1,0
Other Financing Activities,-,-,-,-,-,-,-0.91,3.75
Financing Cash Flow,-492.11,0,0.2,0.45,0,0.55,-0.8,503.75
Net Cash Flow,1.51,-0.1,0.01,0.11,-0.07,-0.11,-2.28,2.5
Free Cash Flow,-0.12,-0.14,-0.27,-0.37,-0.07,-0.66,-1.48,-1.25
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.03,-0.01,-0.05,-0.12,-0.10
