Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,1.66,-0.1,1.6,4.24,-0.61,1.83,0.41,2.97,-0,-0
Other Operating Activities,-2.15,-0.14,-2.1,-4.44,-0.5,-2.22,-0.77,-3.28,0,-
Operating Cash Flow,-0.5,-0.24,-0.5,-0.19,-1.11,-0.4,-0.36,-0.31,-0,-0
Change in Investments,0.48,-0.49,0,0,0,0,0,-151.74,0,0
Investing Cash Flow,0.48,-0.49,0,0,0,0,0,-151.74,0,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,146.51,0,0.03
Debt Issued / Paid,0,0.75,0.5,0,1,0,0,-0.14,0.03,0.11
Other Financing Activities,-,-,-,-,-,-,-0,6.75,-0.03,-0.14
Financing Cash Flow,0,0.75,0.5,0,1,0,-0,153.12,0,0
Net Cash Flow,-0.01,0.01,-0,-0.19,-0.11,-0.4,-0.36,1.07,0,0
Free Cash Flow,-0.5,-0.24,-0.5,-0.19,-1.11,-0.4,-0.36,-0.31,-0,-0
Free Cash Flow Per Share,-0.03,-0.01,-0.03,-0.01,-0.06,-0.02,-0.02,-0.02,-,-
