Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Net Income,17.34,24.57,21.09,19.17,25.7,34.9,21.45,23.15,26.68,46.11,30.91,21.67,18.86,16.81,6.83,4.83,1.1,7.44,7.55,6.95,5.24,-37.45,3.34,0.22,1.33,6.75,-9.71,-0.32,0.26,-11.18,41.89,-7.02,-16.11,53.31,-14.2
Depreciation & Amortization,9.11,8.8,8.68,9.06,9.67,9.04,8.67,8.59,8.61,8.66,8.59,10.1,9.01,8.72,8.04,8.8,7.25,3.61,2.26,2.09,2.01,1.99,2.04,2.02,2.09,2.1,4,4.03,3.9,3.92,7.81,1.51,1.53,1.68,-
Share-Based Compensation,48.8,33.51,36.65,36.3,59.07,25.56,26.11,27.29,29.95,25.2,30.17,28.22,37.33,21.25,24.67,30.68,34.97,27.47,26.37,27.09,37.06,27.55,27.69,27.43,33.26,23.93,22.9,21.57,20.62,19.05,0.22,9.86,9.49,16.89,-
Other Operating Activities,-98.23,-102.34,94.29,95.19,-136.68,-78.95,125,43.11,-215,89.42,108.2,87.27,-90.26,77.48,24.25,18.83,-83.24,-33.85,61.93,36.99,-97.27,47.98,42.58,1.54,-72.4,-12.91,49.39,-5.71,-13.93,-37.03,10.12,72.75,5.39,-27.5,14.2
Operating Cash Flow,-22.99,-35.45,160.71,159.72,-42.24,-9.45,181.23,102.14,-149.76,169.39,177.87,147.25,-25.06,124.26,63.79,63.13,-39.92,4.67,98.12,73.12,-52.96,40.08,75.65,31.21,-35.71,19.86,66.58,19.56,10.84,-25.25,60.04,77.09,0.3,44.38,-
Operating Cash Flow Growth,-,-,-11.32%,56.37%,-,-,1.89%,-30.64%,-,36.32%,178.85%,133.23%,-,2561.34%,-34.99%,-13.65%,-,-88.35%,29.71%,134.28%,-,101.77%,13.61%,59.52%,-,-,10.89%,-74.62%,3467.11%,-,-,-,-,-,-
Capital Expenditures,-2.15,-0.93,-0.76,-0.95,-0.81,-1.72,-2.9,-1.81,-0.04,-0.17,-1.66,-1.65,-5.36,-2.45,-1.88,-2.92,-1.56,-0.74,-0.5,-2.82,-3.14,-0.22,-0.32,-0.18,-0.35,-0.34,-4.04,-2.28,-6.43,-29.77,-4.35,0,0,0,-
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,-61.46,0,0,0,0,0,0,0,0,0,0,0,12.65,0,0,0,0,-
Change in Investments,44.81,49.86,-65.47,-14.21,-19.98,72.64,0,0,65.18,89.89,-96.49,-107.7,-22.59,8.61,-9,0,0,23.01,-0.16,0,14.32,18,-20.18,-10,-25,0,0,0,0.54,-0.55,0,0,0,0,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.78,-0.02,0.8,-,-2.16,-,-,-,-,-
Investing Cash Flow,42.66,48.93,-66.23,-15.15,-20.79,70.92,-2.9,-1.81,65.13,89.71,-98.15,-109.36,-27.96,6.15,-10.88,-2.92,5.92,-39.2,-0.66,-2.82,11.18,17.78,-20.5,-10.18,-25.35,-1.12,-4.06,-1.48,-5.89,-19.83,-4.35,0,0,0,-
Dividends Paid,-6.23,-6.14,-6.13,-6.1,-6.27,-74.26,-1.22,-1.23,-1.27,-1.19,-1.2,-1.21,-1.22,-1.16,-1.14,-1.16,-1.19,-1.17,-1.07,-1.12,-0.97,-0.95,-0.95,-0.95,-0.95,-0.93,-0.93,-0.93,-0.93,0,0,0,0,0,-
Share Issuance / Repurchase,-66.18,-9.29,-16.27,-27.36,-56.57,-8.72,-14.33,-34.4,-45.9,-7.07,-16.41,0,-25.19,-4.35,-17.78,-25.68,0,-29.07,-10.07,-21.84,-3.89,-2.3,0,0,0,0,0,0,0,0,0,0,0,0,-
Debt Issued / Paid,0,0,0,-25,25,0,0,0,0,0.13,-0.05,-0.04,-21.54,-4.14,-4.29,-0.03,-0.04,29.97,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.02,-0.06,0.02,-0.03,-0.02,0,0,0,0,-
