Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,-40.9,-67.4,-64,-89.9,-77.5,-109.9,-133,-178.6,-99.6,-133.3,-85.2,-38.9,-105.6,-85.2,-100.2
Depreciation & Amortization,2.7,4.3,2.9,3,3.6,5.6,3.8,3.7,3.5,5,3.5,3.4,3.7,2.5,0.8
Share-Based Compensation,6.9,12.9,9.3,10.9,11.9,13.4,7.5,4.9,2.3,1.8,0.8,0.5,0.6,0.6,0.3
Other Operating Activities,-52.4,3.5,-7.2,22.3,10.8,51.8,-16.1,34.4,2.9,-65.9,48.5,18.8,55.1,27.5,64.5
Operating Cash Flow,-83.7,-46.7,-59,-53.7,-51.2,-39.1,-137.8,-135.6,-90.9,-192.4,-32.4,-16.2,-46.2,-54.6,-34.6
Capital Expenditures,-2.5,-1.4,-2.1,-2.6,-2.7,-4.1,-2.4,-2.7,-2,-1.6,-1.7,-1.2,-2.7,-4.2,-2.5
Change in Investments,3.4,-9.5,-1.8,7.1,-2.3,-2.3,3.1,4,83.3,-0.5,-2.1,-2.8,-92.6,-27.5,-34.2
Other Investing Activities,-,-,-,-,-1.3,-,-,-,-,-8.9,-,-,-,-,-
Investing Cash Flow,0.9,-10.9,-3.9,4.5,-6.3,-6.4,0.7,1.3,81.3,-11,-3.8,-4,-95.3,-31.7,-36.7
Share Issuance / Repurchase,0,0,0,0.1,0.2,0.2,-1.7,1.4,3.3,"1,098.8",1.1,-0.2,0.3,0.1,1.5
Debt Issued / Paid,0,0,0,0,286,-198.8,-0.2,-0.3,-0.2,-0.4,12,-0.3,-12.8,92,-0.4
Other Financing Activities,-,-,-3,-,-,116,-,-,-,-,-,-,-,-0.3,349.9
Financing Cash Flow,0,0,-3,0.1,286.2,-82.6,-1.9,1.1,3.1,"1,098.4",13.1,-0.5,-12.5,91.8,351
Net Cash Flow,-82.8,-57.6,-65.9,-49.1,228.7,-128.1,-139,-133.2,-6.5,895,-23.1,-20.7,-154,5.5,279.7
Free Cash Flow,-86.2,-48.1,-61.1,-56.3,-53.9,-43.2,-140.2,-138.3,-92.9,-194,-34.1,-17.4,-48.9,-58.8,-37.1
Free Cash Flow Margin,-122.97%,-67.46%,-82.90%,-70.02%,-63.11%,-46.35%,-149.47%,-154.01%,-135.42%,-381.14%,-67.52%,-14.33%,-39.44%,-55.21%,-46.61%
Free Cash Flow Per Share,-6.07,-3.34,-4.33,-4.00,-3.85,-3.13,-10.09,-10.00,-6.77,-46.19,-15.82,-8.26,-22.40,-28.71,-19.19
