Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,-67.43,17.95,30.86,74.63,97.51,80.53,57.98,77.43,36.77,83.58,27.17,3.32,32.86
Depreciation & Amortization,1.08,0.64,0.46,0.78,0.53,0.58,0.63,0.66,0.69,1.14,0.46,0.69,0.66
Share-Based Compensation,9.36,8.7,9.62,6.55,7.27,3.59,2.45,14.62,0.84,5,0.39,0.39,0.39
Other Operating Activities,69.81,18.63,-0.88,10.03,-54.92,-28.33,-6.68,-20.54,-11.99,-38.96,-6.46,26.04,-6.55
Operating Cash Flow,12.82,45.91,40.06,91.99,50.39,56.36,54.38,72.17,26.3,50.76,21.56,30.43,27.36
Operating Cash Flow Growth,-74.57%,-18.54%,-26.33%,27.46%,91.56%,11.05%,152.30%,137.18%,-3.85%,-,-,-,-
Capital Expenditures,-0.41,-2.6,0.16,-0.59,-0.2,-0.23,-0.57,-0.19,-0.13,-0.23,-0.03,0.06,-0.06
Acquisitions,-319.36,0,0,0,-15.09,0,0,0,0,0,0,0,0
Change in Investments,3.78,-6.7,-38.35,-49.76,91.24,-128.13,-18.52,-0.29,33.81,-24,-2.16,19.26,-40.65
Investing Cash Flow,-316,-9.3,-38.19,-50.35,75.95,-128.36,-19.09,-0.48,33.67,-24.23,-2.19,19.32,-40.71
Dividends Paid,-5.54,-7.83,-8.86,-7.61,-5.92,-6.04,-176.27,0,0,-39.94,-54.13,-7.44,-32.68
Share Issuance / Repurchase,0,0,0,0,0,0,137.32,0,-0.11,-0.53,-0.1,0,-6.23
Debt Issued / Paid,228.33,-0.01,148.1,-1.37,-0.1,-0.24,-0.46,-0.55,-0.06,-6.58,120.39,-19.15,31.77
Other Financing Activities,-25.42,-35.97,-50.83,-80.76,-45.91,-31.64,130.76,-143.59,-27.56,-0.99,-5.44,-8.78,-5.21
Financing Cash Flow,197.37,-43.81,88.41,-89.75,-51.93,-37.92,91.34,-144.14,-27.73,-48.05,60.73,-35.37,-12.35
Net Cash Flow,-105.81,-7.19,90.28,-48.11,74.41,-109.92,126.63,-72.45,32.25,-21.52,80.1,14.38,-25.71
Free Cash Flow,12.41,43.31,40.23,91.4,50.19,56.14,53.81,71.99,26.17,50.53,21.52,30.49,27.29
Free Cash Flow Growth,-75.28%,-22.85%,-25.25%,26.97%,91.79%,11.10%,150.04%,136.09%,-4.11%,-,-,-,-
Free Cash Flow Margin,-,45.33%,34.33%,44.81%,28.05%,21.96%,30.40%,47.41%,32.82%,33.48%,30.47%,78.48%,35.81%
Free Cash Flow Per Share,0.49,1.78,1.67,3.80,2.17,2.42,2.42,0.66,0.24,0.46,-,-,-
