Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Net Income,0.9,0.61,0.28,-0.12,-0.6
Share-Based Compensation,0,0,0,0,0.56
Other Operating Activities,0.23,0.8,-0.33,0.06,-1.2
Operating Cash Flow,1.13,1.41,-0.05,-0.06,-1.25
Change in Investments,-1.21,-1.63,0,0,-111.37
Investing Cash Flow,-1.21,-1.63,0,0,-111.37
Share Issuance / Repurchase,0,0,0,0,114.13
Debt Issued / Paid,0,0,0.13,0,-0.22
Other Financing Activities,-,-,-0.13,-,-0.32
Financing Cash Flow,0,0,0,0,113.6
Net Cash Flow,-0.08,-0.22,-0.05,-0.06,0.98
Free Cash Flow,1.13,1.41,-0.05,-0.06,-1.25
Free Cash Flow Per Share,0.08,0.10,-0.00,-0.00,-0.21
