Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Net Income,8.19,10.91,9.62,9.29,10.18,12.71,13.07,11.69,15.22,10.18,17.66,11.47,5.36,7.65,7.1,8.35,6.44,6.03,7.37,-
Depreciation & Amortization,2.09,2.19,2.1,1.88,2.06,2.12,2.15,2.2,2.34,2.29,2.27,2.21,2.16,2.27,2.29,2.15,2.06,2.14,-,-
Share-Based Compensation,0.16,0.51,0.35,0.66,0.38,1.29,0.55,0.76,0.5,0.59,0.48,0.62,0.24,0.42,0.34,0.65,0.35,0.87,-,-
Other Operating Activities,-9.99,34.62,35.06,-39.09,22.66,15.97,17.65,14.83,36.79,-15.47,-17.55,-15.83,-28.93,6.98,4.61,-22.16,-10.24,17.17,-7.37,-
Operating Cash Flow,0.45,48.23,47.14,-27.25,35.29,32.09,33.42,29.48,54.84,-2.41,2.85,-1.53,-21.17,17.32,14.34,-11.01,-1.4,26.2,-,-
Operating Cash Flow Growth,-98.74%,50.29%,41.06%,-,-35.66%,-,1072.49%,-,-,-,-80.12%,-,-,-33.92%,-,-,-,-,-,-
Capital Expenditures,-0.92,-0.71,-0.61,-0.34,-0.13,-0.86,-0.42,-0.15,-0.28,-1.05,-0.76,-1.31,-0.69,-0.45,0.36,-0.57,-1.37,-1.43,-,-
Acquisitions,0,-0.07,101.59,0,0,0,0,0,0,-9.28,0,0,0,0,0,10.38,0,0,-,-
Change in Investments,-19.18,-118.41,-127.39,-34.96,-112.96,-152.9,-188.27,104.79,-180.19,-16.79,-123.55,-314.41,-70.97,-69.73,4.15,3.47,-12.98,-16.18,-,-
Other Investing Activities,0.02,0.79,0.03,0.06,0.06,0.09,0.06,0.38,0.1,-0.13,0.25,0.21,0.1,0.14,0.59,0.17,0.25,-2.79,-,-
Investing Cash Flow,-20.08,-118.4,-26.39,-35.24,-113.03,-153.67,-188.63,105.02,-180.37,-27.24,-124.07,-315.52,-71.57,-70.04,5.09,13.44,-14.09,-20.4,-,-
Dividends Paid,-3.62,-3.62,-3.62,-2.79,-2.78,-2.78,-2.78,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.36,-1.98,-1.97,-1.97,-,-
Share Issuance / Repurchase,-0.36,-0.04,0,-0.09,-0.61,-0.19,-0.08,0,-0.45,-0.11,-0.04,0,-0.34,-0,60.96,-0.02,-0.09,-0.09,-,-
Debt Issued / Paid,-5.94,124.23,11.42,242.29,-0.06,-0.06,-0.06,-0.06,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-141.52,129.34,-81.46,19.49,-,-
Other Financing Activities,116.49,-46.33,-11.42,-272.72,-28.28,207.46,2.15,-6.63,145.58,109.62,9.22,331.64,150.2,138.2,79.75,-129.71,103.2,-18.42,-,-
Financing Cash Flow,106.58,74.25,-3.62,-33.3,-31.73,204.44,-0.76,-9.29,142.78,106.86,6.53,328.99,147.22,135.56,-3.18,-2.36,19.68,-0.99,-,-
Net Cash Flow,86.94,4.08,17.12,-95.79,-109.48,82.86,-155.98,125.21,17.26,77.21,-114.69,11.95,54.48,82.83,16.25,0.07,4.2,4.81,-,-
Free Cash Flow,-0.48,47.52,46.53,-27.59,35.16,31.23,33,29.33,54.56,-3.46,2.09,-2.84,-21.86,16.87,14.7,-11.58,-2.77,24.78,-,-
Free Cash Flow Growth,-,52.17%,40.99%,-,-35.57%,-,1481.22%,-,-,-,-85.80%,-,-,-31.93%,-,-,-,-,-,-
Free Cash Flow Margin,-0.99%,90.55%,84.09%,-53.05%,68.74%,53.84%,55.77%,50.67%,86.72%,-5.72%,3.29%,-5.17%,-50.21%,36.49%,31.43%,-24.90%,-6.59%,56.48%,-,-
Free Cash Flow Per Share,-0.02,2.38,2.33,-1.59,2.04,1.81,1.92,1.71,3.18,-0.20,0.12,-0.17,-1.28,0.99,1.03,-0.84,-0.20,1.80,-,-
