Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,1.02,0.94,0.93,1.31,1.01,0.62,-0.5,0.85,0.79,1.07,0.73,0.95,0.8
Depreciation & Amortization,0.12,0.03,0.07,0.1,0.12,0.13,0.13,0.08,0.14,0.23,0.13,0.12,0.1
Share-Based Compensation,0.18,0.59,0.18,0.18,0.18,0.27,0.22,0.15,0.15,0.24,0.11,0.02,0.02
Other Operating Activities,0.16,-1.05,1,0.53,-0.35,0,3.01,-0.41,-0.39,0.23,-1.3,-0.01,0.03
Operating Cash Flow,1.47,0.51,2.17,2.12,0.96,1.02,2.86,0.66,0.68,1.76,-0.33,1.08,0.94
Operating Cash Flow Growth,52.34%,-49.75%,-24.11%,220.88%,40.79%,-42.17%,-,-38.63%,-27.16%,-,-,-,-
Capital Expenditures,-0.04,-0.75,-0.43,-0.3,-0.27,-0.32,-0.64,-0.28,-0.07,-0.29,-0.05,-0.03,-0.06
Change in Investments,-2.86,-7.94,-19.3,-42.7,-23.34,-9.85,-0.81,-5.07,-5.93,5.94,11.28,-0.19,5.03
Other Investing Activities,0,-,-,-2.88,0.33,-,-0,0.12,0.07,0.06,-,-,-
Investing Cash Flow,-2.9,-8.69,-19.73,-45.87,-23.28,-10.17,-1.46,-5.23,-5.93,5.71,11.23,-0.21,4.96
Dividends Paid,-0.89,0,0,0,-0.89,0,0,0,-0.86,-0,0,-0,-0.83
Share Issuance / Repurchase,-0.14,-0.13,0,0,0,0,37.51,0,-0.02,0,0,-0.07,-0.04
Debt Issued / Paid,10,10,15,0,-18.41,-15.04,0,-10.02,-9.9,0.17,-8.17,0,10
Other Financing Activities,-16.49,6.2,6.52,29.86,18.35,-3.6,-42.38,50.6,12.83,4.54,2.77,15.92,4.84
Financing Cash Flow,-7.51,16.07,21.52,29.86,-0.95,-18.63,-4.87,40.58,2.06,4.71,-5.4,15.85,13.97
Net Cash Flow,-8.95,7.9,3.97,-13.89,-23.27,-27.79,-3.47,36.02,-3.19,12.18,5.5,16.72,19.87
Free Cash Flow,1.43,-0.24,1.74,1.83,0.69,0.7,2.22,0.39,0.62,1.47,-0.38,1.05,0.88
Free Cash Flow Growth,105.92%,-,-21.48%,373.06%,12.68%,-52.45%,-,-63.24%,-29.79%,-,-,-,-
Free Cash Flow Margin,34.05%,-5.58%,41.09%,43.55%,18.68%,21.57%,67.80%,11.87%,18.82%,45.89%,-11.88%,33.89%,28.40%
Free Cash Flow Per Share,0.19,-0.03,0.23,0.25,0.09,0.09,0.30,0.12,0.19,0.45,-,-,-
