Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,0.22,0.69,0.61,-0.4,-0.23,-0.26,-0.38,-0.21,-0.1,-0.13
Other Operating Activities,-0.45,-0.81,-0.65,0.13,0.03,0.14,-0.1,0.08,-,-0.07
Operating Cash Flow,-0.23,-0.12,-0.05,-0.28,-0.2,-0.12,-0.48,-0.13,-0.1,-0.2
Share Issuance / Repurchase,-41.6,0,0,0,0,0,-1.84,61,0,0
Debt Issued / Paid,1,0.05,-0.01,0.01,0,0,0,-0.37,0.14,0.16
Other Financing Activities,-,-,-,-,-,-,1.84,-1.84,-,-
Financing Cash Flow,-40.6,0.05,-0.01,0.01,0,0,0,58.79,0.14,0.16
Net Cash Flow,0.02,-0.07,-0.05,-0.27,-0.2,-0.12,-0.48,1.16,0.04,-0.04
Free Cash Flow,-0.23,-0.12,-0.05,-0.28,-0.2,-0.12,-0.48,-0.13,-0.1,-0.2
Free Cash Flow Per Share,-0.03,-0.02,-0.01,-0.04,-0.03,-0.01,-0.14,-0.02,-0.07,-0.14
