Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.43,-0.31,-0.12,-0.15,-0.35
Other Operating Activities,-0.85,0.25,-0.1,-0.06,0.08
Operating Cash Flow,-0.41,-0.06,-0.22,-0.21,-0.27
Change in Investments,-0.87,0,0,0,0
Investing Cash Flow,-0.87,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,103.9
Debt Issued / Paid,1.28,0.07,0,0,0
Other Financing Activities,-,-,-,-,-0.44
Financing Cash Flow,1.28,0.07,0,0,103.47
Net Cash Flow,-0,0.01,-0.22,-0.21,0.47
Free Cash Flow,-0.41,-0.06,-0.22,-0.21,-0.27
Free Cash Flow Per Share,-0.03,-0.00,-0.02,-0.02,-0.06
