Year,2021,2020,2019,2018,2017
Net Income,75.51,26.04,24.85,22.33,7.64
Depreciation & Amortization,2.62,5.58,2.67,1.18,1.1
Share-Based Compensation,1.93,0.88,0.18,0.11,0.02
Other Operating Activities,-3.32,-511.82,-154.56,-26.69,-27.01
Operating Cash Flow,79.76,-479.31,-126.86,-3.07,-18.25
Capital Expenditures,-1.92,-0.92,-1.21,-2.66,-1.12
Acquisitions,0,0,47.39,0,0
Change in Investments,"-7,981.61",-69.84,-620.81,-204.01,-123.75
Other Investing Activities,-0.01,0.17,0.13,0.04,-
Investing Cash Flow,"-7,983.54",-70.58,-574.5,-206.63,-124.87
Share Issuance / Repurchase,"1,099.74",0.04,6.46,96.63,0
Debt Issued / Paid,0,-51.79,47.86,-16.14,-101.14
Other Financing Activities,"9,229.9","3,430.13",106.23,5.96,"1,007.28"
Financing Cash Flow,"10,329.64","3,378.38",160.55,86.45,906.13
Net Cash Flow,"2,425.86","2,828.48",-540.82,-123.25,763.02
Free Cash Flow,77.84,-480.23,-128.08,-5.73,-19.37
Free Cash Flow Margin,44.60%,-528.89%,-146.96%,-7.28%,-42.90%
Free Cash Flow Per Share,3.04,-25.69,-7.13,-0.35,-2.10
