Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,-0.63,0.35,29.25,33.08,29.1,7.53,0.65,1.98,0.26,3.6,1.64,2.41,20.4,-12,1.27,0.8,-2.94,9.61,-10.2,-7.66,-12.05,-9.69,-37.88,-5.24,4.45
Depreciation & Amortization,75.75,73.41,71.35,68.45,63.91,58.6,49.68,47.61,46.59,42.34,40.14,39.04,38.71,39,37.7,33.65,31.05,27.23,25.69,24.45,21.38,20.21,20.28,15.9,14.67
Share-Based Compensation,7.91,8.26,7.98,7.5,6.71,7.03,5.94,6.28,12.36,6.7,5.31,5.25,5.03,4.95,4.28,5.18,3.92,12.86,24.06,3.7,3.85,3.48,27.62,1.86,1.92
Other Operating Activities,-86.26,-23.74,-7.55,24.89,-104.36,2.91,29.62,61.97,-25.07,20.26,27,14.3,-60.75,32.9,31.46,-0.32,-16.12,-29.99,9.51,3.93,-0.45,-6.64,41.81,17.62,-41.28
Operating Cash Flow,-3.23,58.28,101.02,133.93,-4.64,76.07,85.89,117.83,34.13,72.89,74.09,61,3.38,64.85,74.7,39.31,15.91,19.7,49.07,24.43,12.73,7.36,51.83,30.14,-20.24
Operating Cash Flow Growth,-,-23.38%,17.62%,13.67%,-,4.36%,15.93%,93.18%,909.11%,12.40%,-0.82%,55.19%,-78.75%,229.19%,52.25%,60.91%,25.05%,167.64%,-5.33%,-18.95%,-,-,-,-,-
Capital Expenditures,-5.61,-7.87,-6.72,-3.2,-3.23,-4.46,-2.24,-1.48,-2.84,-6.66,-6.74,-2.76,-3.19,-4.71,-10.7,-8.19,-1.88,-2.78,-1.9,-2.12,-2.31,-2,-5.79,-1.79,-0.93
Acquisitions,-84.71,-99.85,-109.62,-249.45,-2.6,-692.26,-204.7,-74.18,-7.93,-279.21,-10.47,-6.81,-52.19,-38.18,-205.24,-85.71,-203.39,-116.22,-81.49,-189.8,-25.53,-3.93,-247.58,-73.1,-41.09
Change in Investments,0,12.59,0,0,-5.23,0,1.9,-1.63,-17.5,-4.95,0,0,0,1.53,0,0,0,0,0,-24.3,0,0,0,-0.5,0
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.4,-3.4,-,-,0.5,-0.5
Investing Cash Flow,-90.32,-95.12,-116.34,-252.65,-11.07,-696.72,-205.04,-77.3,-28.26,-290.82,-17.21,-9.57,-55.38,-41.36,-215.93,-93.89,-205.27,-119,-83.39,-212.82,-31.24,-5.94,-253.37,-74.89,-42.52
Share Issuance / Repurchase,1.01,0,0.74,0,0.42,164.07,2.17,1.15,2.86,5.35,1.39,0.09,0.08,0.04,0,0.58,0.21,0,503.62,0,0,-0.26,-795.64,0,0
Debt Issued / Paid,92.05,76.13,-56.18,42.72,43.83,142.7,633.75,-4.14,112.47,247.22,-32.94,-232.92,246.44,-2.93,162.45,27.96,247.94,37.94,-397.2,196.11,-2.68,-2.09,390.43,51.7,67.03
Other Financing Activities,-39.15,-29.25,-20.58,-18.33,-22.51,-17.63,-18,-63.26,-17.34,-12.05,-18.2,-16.64,-26,-6.94,-7.71,-19.78,-8.25,-3.7,-6.27,-3,-2.32,-1.31,637.89,-2.38,-2.97
Financing Cash Flow,53.9,46.88,-76.02,24.39,21.74,289.13,617.92,-66.25,97.99,240.52,-49.75,-249.47,220.52,-9.83,154.73,8.76,239.91,34.24,100.14,193.1,-5,-3.65,232.68,49.32,64.06
Net Cash Flow,-39.77,11.45,-92.52,-95.99,6.35,-331.52,498.23,-25.73,103.86,23.2,7.33,-197.71,167.86,13.92,13.32,-45.84,50.57,-65.17,65.81,4.62,-23.51,-2.21,31.22,4.63,1.31
Free Cash Flow,-8.84,50.42,94.3,130.74,-7.87,71.61,83.65,116.35,31.29,66.24,67.35,58.24,0.19,60.14,64,31.12,14.04,16.92,47.17,22.31,10.41,5.36,46.04,28.35,-21.17
Free Cash Flow Growth,-,-29.60%,12.74%,12.37%,-,8.12%,24.21%,99.79%,16030.41%,10.14%,5.22%,87.14%,-98.62%,255.42%,35.69%,39.49%,34.81%,215.87%,2.46%,-21.30%,-,-,-,-,-
Free Cash Flow Margin,-1.59%,9.21%,18.14%,24.25%,-1.47%,13.67%,18.40%,27.35%,7.94%,17.45%,20.32%,18.60%,0.06%,17.68%,20.21%,10.32%,5.40%,6.84%,20.01%,9.64%,5.31%,2.82%,25.54%,18.03%,-15.62%
Free Cash Flow Per Share,-0.13,0.77,1.44,2.00,-0.12,1.17,1.40,2.09,0.60,1.30,1.38,1.22,0.00,1.27,1.36,0.67,0.30,0.37,1.11,0.36,0.17,-,-,-,-
