Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,22.49,-1.59,-12,-7.72,-9.07,55.11,27.18,24.71,25.32,9.72,12.33,6.88,-35.05
Depreciation & Amortization,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.01
Share-Based Compensation,1.77,1.73,1.65,1.77,0.91,0.92,-1.69,1.84,0,0,0,0,0
Other Operating Activities,-3.51,-50.87,21.05,-137.39,-44.21,-193.4,-74.89,-61.71,-45.05,-64.05,-4.09,-20.13,36.15
Operating Cash Flow,20.75,-50.73,10.7,-143.35,-52.37,-137.37,-49.4,-35.17,-19.73,-54.32,8.25,-13.26,1.11
Capital Expenditures,-0.34,-0.09,-0.13,-0.04,0.06,-0.05,-0.34,-0.33,-0.49,-0.19,-0.03,-0.02,-0.01
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,-91.73
Investing Cash Flow,-0.34,-0.09,-0.13,-0.04,0.06,-0.05,-0.34,-0.33,-0.49,-0.19,-0.03,-0.02,-91.74
Dividends Paid,-20.66,-20.44,-17.16,-14.8,-8.75,-8.09,-6.77,-6.26,-3.81,-3.82,-3.66,-2.88,0
Share Issuance / Repurchase,1.99,-2.26,54.83,57.54,-0,0.44,0,0,104.21,0,0,0.08,114.39
Debt Issued / Paid,-4,53.14,-27.33,85.19,43,158.7,62.35,24.95,-90,78.28,9.69,-25.01,55.72
Other Financing Activities,-,-3.15,-,-,-,-7.2,-,-,-,-11.5,-,-,-
Financing Cash Flow,-22.67,27.29,10.34,127.93,34.25,143.85,55.58,18.68,10.4,62.96,6.03,-27.8,170.11
Net Cash Flow,-2.27,-23.53,20.92,-15.46,-18.06,6.43,5.85,-16.82,-9.82,8.45,14.25,-41.08,79.49
Free Cash Flow,20.4,-50.82,10.57,-143.38,-52.31,-137.42,-49.74,-35.5,-20.22,-54.52,8.22,-13.28,1.1
Free Cash Flow Margin,49.12%,-122.43%,27.33%,-428.55%,-164.25%,-582.14%,-228.25%,-182.29%,-116.73%,-355.36%,60.76%,-95.91%,8.96%
Free Cash Flow Per Share,0.58,-1.45,0.32,-4.63,-1.91,-5.05,-1.87,-1.34,-0.86,-2.98,0.45,-0.73,0.06
