Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,-20.22,-17.51,-34.86,-51.72,-47.37,-58.41,-44.06,-49.95,-,-,-92.98,-291.21,-133.51,16.1,9.36,-55.11,-61.8,-57.06,-136.41,-16.67,-17.45,-31.6,-43.08,-34.41
Other Operating Activities,20.22,17.51,34.86,51.72,47.37,58.41,44.06,49.95,-,-,92.98,291.21,133.51,-16.1,-9.36,55.11,61.8,57.06,191.64,34.91,17.45,31.6,34.89,-0.62
Operating Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.23,18.24,-,-,-8.2,-35.03
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.04,-6.63,-,-,-1.13,-1.29
Investing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.04,-6.63,-,-,-1.13,-1.29
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,518.47",-11.29,-,-,9.32,36.32
Financing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,518.47",-11.29,-,-,9.32,36.32
Net Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,543.49",0.32,-,-,0,0
Free Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.23,18.24,-,-,-8.2,-35.03
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.45%,3.90%,-,-,-7.20%,-36.24%
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.93,1.05,-,-,-0.47,-2.03
