Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-27
Net Income,2.71,1.8,0.07,2.18,3.97,-0,-0
Other Operating Activities,-3.21,-1.92,-0.29,-2.41,-4.75,-,-
Operating Cash Flow,-0.5,-0.12,-0.22,-0.23,-0.78,-0,-0
Share Issuance / Repurchase,0,0,0,0,140.11,0,0.03
Debt Issued / Paid,0,0,0,0,-0.2,0.2,0.1
Other Financing Activities,0.37,-,-,-,7.6,-0.07,-0.08
Financing Cash Flow,0.37,0,0,0,147.51,0.13,0.05
Net Cash Flow,-0.13,-0.08,-0.22,-0.23,0.83,0.13,0.05
Free Cash Flow,-0.5,-0.12,-0.22,-0.23,-0.78,-0,-0
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.01,-0.11,-0.00,-0.00
