Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-07-15
Net Income,0.28,-1.15,5.36,6.17,22.12,7.22,15.01,6.73,21.78,-40.39,-0.02,-0.01
Share-Based Compensation,0,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.12,0,0
Other Operating Activities,-0.4,0.85,-5.54,-6.39,-22.42,-7.33,-15.19,-6.99,-22.53,40.21,-0,-0.01
Operating Cash Flow,-0.13,-0.29,-0.16,-0.2,-0.28,-0.09,-0.16,-0.24,-0.73,-0.05,-0.03,-0.03
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,621.65,0.03,0.03
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,-0.24,0.24,0
Other Financing Activities,-,-,-,-,-,-,-,-,-,-11.17,-0.24,-
Financing Cash Flow,0,0,0,0,0,0,0,0,0,610.24,0.03,0.03
Net Cash Flow,-0.13,-0.29,-0.16,-0.2,-0.28,-0.09,-0.16,-0.24,-0.73,2.69,0,0
Free Cash Flow,-0.13,-0.29,-0.16,-0.2,-0.28,-0.09,-0.16,-0.24,-0.73,-0.05,-0.03,-0.03
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00
