Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30
Net Income,795,921,"1,330",-341,509,801,"1,087","1,184","1,097","1,567","1,021","1,530",84,507,462,823,667,584,436,526,511,620,380,411,384,390,323,323,365,367,301,305,255,286,234,281
Depreciation & Amortization,270,326,330,333,328,326,323,316,300,301,298,297,293,227,227,228,230,223,188,180,185,227,194,201,183,189,185,176,174,164,153,150,141,132,129,-
Share-Based Compensation,345,294,226,312,429,318,300,390,368,377,364,352,283,285,266,223,247,230,213,205,205,219,193,176,145,121,103,80,94,88,86,75,71,75,73,-
Other Operating Activities,-240,-384,62,"1,162",-49,-225,-197,-584,-7,-533,-369,-407,761,-245,141,-100,-117,94,"3,833",-883,"-1,250","-1,213",239,133,39,223,190,117,105,109,112,92,77,138,168,-281
Operating Cash Flow,"1,170","1,157","1,948","1,466","1,217","1,220","1,513","1,306","1,758","1,712","1,314","1,772","1,421",774,"1,096","1,174","1,027","1,131","4,670",28,-349,-147,"1,006",921,751,923,801,696,738,728,652,622,544,631,604,-
Operating Cash Flow Growth,-3.86%,-5.16%,28.75%,12.25%,-30.77%,-28.74%,15.14%,-26.30%,23.72%,121.19%,19.89%,50.94%,38.36%,-31.56%,-76.53%,4092.86%,-,-,364.21%,-96.96%,-,-,25.59%,32.33%,1.76%,26.79%,22.85%,11.90%,35.66%,15.37%,7.95%,-,-,-,-,-
Capital Expenditures,-169,-158,-182,-173,-188,-211,-225,-246,-221,-226,-241,-192,-87,-174,-156,-139,-218,-221,-223,-198,-178,-180,-165,-174,-148,-152,-183,-201,-133,-164,-118,-220,-194,-123,-173,-
Acquisitions,0,0,0,0,0,"-2,294",0,-469,0,0,3,0,"-3,612",-70,0,0,0,12,"-2,120",-16,0,0,-323,0,0,0,0,0,-19,-367,-10,-273,0,-363,0,-
Change in Investments,-881,"1,594","1,766","-3,130",-325,-518,715,-691,"-1,182","-2,561","-3,029","-6,580","1,532","-1,105",-143,-919,"-2,467","-1,241","3,826",299,-246,462,695,"-1,385","-1,662",-881,"-1,904","-1,335",-15,-476,"-1,193","-4,762",134,"-1,482",-266,-
Other Investing Activities,"1,084","-1,571",-203,-613,-239,230,-164,307,-180,-474,67,-758,-387,941,922,-39,"-2,175","1,554","-1,329",473,429,"-1,144",-858,-170,567,"-1,701",398,-270,492,-709,-475,"1,316",-527,-24,-,-
Investing Cash Flow,34,-135,"1,381","-3,916",-752,"-2,793",326,"-1,099","-1,583","-3,261","-3,200","-7,530","-2,554",-408,623,"-1,097","-4,860",104,154,558,5,-862,-651,"-1,729","-1,243","-2,734","-1,689","-1,806",325,"-1,716","-1,796","-3,939",-587,"-1,992",-439,-
Share Issuance / Repurchase,"-1,431",-953,-939,-667,"-1,497","-1,428",-349,-113,"-1,321",-200,-369,-130,-799,-245,-346,67,-749,-534,-595,-435,"-1,812",-256,-86,-15,-505,1,-48,-249,-590,39,36,0,0,0,0,-
