Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,6.02,6.18,5.23,2.36,0.3,6.26,1.36,-3.55,1.34,1.9,1.39,1.48,0.85,3.85,-0.98,-6.71,4.78,4.8,4.44,4.14,3.42
Depreciation & Amortization,0.66,0.69,0.69,0.7,0.69,0.68,0.68,0.72,0.7,0.72,0.71,0.73,0.72,0.75,0.71,0.71,0.71,0.73,0.66,0.68,0.64
Share-Based Compensation,0.14,0.14,0.12,0.13,0.14,0.16,0.15,0.15,0.14,0.13,0.11,0.12,0.17,0.35,0.36,0,0,0,0,0,0
Other Operating Activities,-4.5,-4.66,1.9,18.22,21.64,-7.21,3.71,8.1,19.28,5.04,-4.24,7.1,-20.12,6.95,-1,4.2,-5.33,-4.95,2.09,-1.78,1.05
Operating Cash Flow,2.33,2.35,7.95,21.41,22.77,-0.11,5.9,5.42,21.47,7.78,-2.02,9.43,-18.38,11.89,-0.92,-1.8,0.16,0.58,7.19,3.05,5.11
Operating Cash Flow Growth,-89.77%,-,34.72%,294.94%,6.06%,-,-,-42.51%,-,-34.55%,-,-,-,1961.18%,-,-,-96.93%,-,-,-,-
Capital Expenditures,-0.09,-0.01,-0.07,-0.13,0.8,-0.09,-0.17,-0.21,-0.19,-0.11,0.07,-0.18,-0.43,-0.51,-0.46,-0.45,-0.35,-0.26,-0.6,-0.61,-0.47
Acquisitions,0,0,0,0,-0.17,-1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.27,-0
Change in Investments,-29.01,-19.96,-78.06,-80.97,-38.99,-4.69,-22.13,-7.49,-99.19,-17.58,-0.43,-57.37,-12.21,-23.95,-15.53,-14.47,2.95,-2.86,-61.98,-6.21,-24.9
Other Investing Activities,-,-,1.14,-,-,-,-,-,-,-,-,-,-,1.14,-,-,-,-,-,-,-
Investing Cash Flow,-29.1,-19.97,-76.99,-81.11,-38.36,-6.27,-22.3,-7.69,-99.37,-17.68,-0.36,-57.54,-12.64,-23.31,-15.99,-14.92,2.61,-3.12,-62.58,-10.09,-25.37
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.41,0,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,0,0,-20,10,10,0,0,-30,30,0,0,-5
Other Financing Activities,24.51,-237.93,95.85,-29.01,131.22,-123.06,170.01,-1.32,210.46,-56.26,107.63,34.81,96.34,-72.47,-119.85,90.04,127.57,-119.41,83.52,-30.33,67.42
Financing Cash Flow,24.51,-237.93,95.85,-29.01,131.22,-123.06,170.01,-1.32,210.46,-56.26,107.63,14.81,106.34,-62.47,-24.44,90.04,97.57,-89.41,83.52,-30.33,62.42
Net Cash Flow,-2.26,-255.55,26.81,-88.71,115.62,-129.44,153.62,-3.59,132.55,-66.15,105.26,-33.3,75.32,-73.89,-41.34,73.32,100.33,-91.96,28.13,-37.37,42.16
Free Cash Flow,2.24,2.34,7.89,21.27,23.57,-0.19,5.73,5.21,21.28,7.68,-1.95,9.25,-18.81,11.39,-1.37,-2.25,-0.19,0.31,6.59,2.44,4.64
Free Cash Flow Growth,-90.51%,-,37.56%,308.02%,10.74%,-,-,-43.65%,-,-32.58%,-,-,-,3538.02%,-,-,-,-,-,-,-
Free Cash Flow Margin,10.77%,10.88%,42.95%,134.17%,174.31%,-1.34%,43.47%,39.49%,159.58%,55.42%,-14.85%,74.72%,-154.58%,68.82%,-8.23%,-517.70%,-1.20%,2.13%,44.16%,16.67%,33.88%
Free Cash Flow Per Share,0.09,0.09,0.31,0.84,0.94,-0.01,0.23,0.21,0.85,0.31,-0.08,0.37,-0.75,0.46,-0.06,-0.09,-0.01,0.01,-,-,-
