Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Net Income,"1,920","1,724","1,984","1,141","1,978"
Depreciation & Amortization,339,338,338,346,306
Other Operating Activities,"4,739",-947,831,"16,461","3,105"
Operating Cash Flow,"7,072","1,115","3,153","17,948","5,389"
Operating Cash Flow Growth,31.23%,-,-,-,-
Capital Expenditures,-266,-127,-225,"-1,492",61
Acquisitions,-,-,-,"-1,389",-
Change in Investments,-3,-95,61,-93,-
Other Investing Activities,47,463,-81,-336,53
Investing Cash Flow,-222,241,-245,"-3,310",114
Dividends Paid,-,-722,-,-,-
Share Repurchases,-234,-414,-146,-,-
Other Financing Activities,-682,-969,"-1,850",-766,-364
Financing Cash Flow,-448,"-1,277","-1,704",-766,-364
Net Cash Flow,"6,402",79,"1,204","13,872","5,139"
Free Cash Flow,"3,314","-5,300","7,825","15,299","3,452"
Free Cash Flow Growth,-4.00%,-,-,-,-
Free Cash Flow Margin,41.22%,-81.24%,102.39%,221.28%,54.06%
Free Cash Flow Per Share,-,-0.81,-,-,0.50
