Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,-2.1,-4.61,14.71,-5.54,27.51,-51.67,-0.48,12.59,-6.81,-11.57,11.02
Depreciation & Amortization,13.74,20.43,8.89,8.3,7.15,6.86,5.89,5.03,4.37,3.6,3.22
Share-Based Compensation,4.11,3.96,3.86,4.31,0,0,0,0,0,0,0
Other Operating Activities,-4.03,-58.02,6.18,43.84,-25.64,1.73,11.88,29.46,23.43,13.38,-6.61
Operating Cash Flow,11.73,-38.24,33.64,50.91,9.01,-43.08,17.29,47.08,21,5.42,7.63
Operating Cash Flow Growth,30.11%,-,94.61%,8.14%,-57.07%,-,126.57%,-,-,-,-
Capital Expenditures,-8.13,-10.95,-11.91,-10.99,-10.53,-12.21,-12.13,-8.47,-10.56,-13.58,-11.2
Acquisitions,-6.08,-2.69,0.81,-7.49,-6.03,-3.26,-2.64,-5.54,-3.17,-2.93,-3.58
Change in Investments,-10.62,0.85,-15.39,-1.23,-15.25,0.16,-3.78,0,-7.45,0,0
Other Investing Activities,0.02,0.94,-0.02,-1.65,0.01,0.07,-0.05,0.02,0,-0.32,0
Investing Cash Flow,-24.8,-11.84,-26.52,-21.36,-31.8,-15.23,-18.59,-14,-21.17,-16.83,-14.78
Dividends Paid,0,0,0,0,0,0,0,0,0,4,-4
Debt Issued / Paid,-19.38,-27.63,49,-30.5,-19,18,31.5,25.5,-8.5,21.9,12
Other Financing Activities,0.5,-0.95,-,1,-,269.13,0.1,-3.66,-,-4.2,-
Financing Cash Flow,-18.88,-28.58,49,-29.5,-19,287.13,31.6,21.84,-8.5,21.7,8
Net Cash Flow,-31.8,-77.14,54.88,-0.75,-41.78,228.55,29.92,54.83,-8.4,0,0
Free Cash Flow,3.6,-49.18,21.73,39.92,-1.52,-55.29,5.16,38.6,10.44,-8.16,-3.57
Free Cash Flow Growth,-,-,321.35%,3.42%,-,-,-,-,-,-,-
Free Cash Flow Margin,1.65%,-24.96%,10.02%,19.38%,-0.90%,-35.81%,3.07%,23.06%,8.08%,-6.72%,-2.63%
Free Cash Flow Per Share,0.04,-0.59,0.26,0.48,-0.02,-0.67,51.57,386.03,104.36,-81.61,-35.70
