Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Net Income,9.67,34.88,33.48,13.83,51.85,52.15,28.17,39.76,33.2,21.81,3.25,20.65,13.5,15.3,11.38,8.05,5.46,11.22,8.85,13.5,-6.31,4.69,5.46,0.61,0,0,0,-
Depreciation & Amortization,4.49,3.34,3.14,4.43,2.16,3.89,4.9,4.18,2.97,2.54,1.83,1.91,4.42,0.81,0.8,1.22,0.62,0.63,0.51,0.5,0.49,0.47,0.44,0.48,0.47,0.49,0.49,-
Share-Based Compensation,2.83,2.09,1.9,1.7,1.71,1.65,2.34,1.77,1.76,1.8,1.75,1.94,1.76,1.76,1.73,1.61,1.6,1.6,1.59,1.27,1.28,1.57,1.42,1.18,1.17,1.24,1.09,-
Other Operating Activities,40.52,54.59,22.43,-2.94,12.87,-6.16,-3.02,-5.34,20.23,16.02,40.64,-16.18,22.18,14.94,19.49,-6.16,26.18,21.74,26.92,-13.92,37.09,26.87,21.87,1.79,31.25,25.57,15.85,-
Operating Cash Flow,57.52,94.9,60.95,17.01,68.59,51.53,32.39,40.37,58.16,42.18,47.46,8.32,41.85,32.8,33.4,4.71,33.85,35.19,37.86,1.35,32.55,33.61,29.19,4.05,32.89,27.3,17.44,-
Operating Cash Flow Growth,-16.14%,84.15%,88.19%,-57.86%,17.94%,22.18%,-31.75%,385.30%,38.96%,28.59%,42.07%,76.49%,23.63%,-6.79%,-11.78%,249.63%,3.99%,4.72%,29.73%,-66.73%,-1.02%,23.09%,67.39%,-,-,-,-,-
Capital Expenditures,-0.77,-0.78,-1.71,-0.74,-1.1,-2.15,-4.54,-10.08,-6.41,-1.15,-1,-0.77,0.09,-0.56,-0.74,-0.61,-1.53,-1.81,-1.41,-1.1,-0.43,-0.33,-0.39,-0.56,-0.14,-0.22,-0.36,-
Acquisitions,-9.06,-40.85,-1.5,15.01,-29.57,-14.77,-10.1,31.2,0,0,0,7.69,-0.16,0,0,10.61,-0.94,0,0,0,0.19,-5.41,0,0,0,0,0,-
Change in Investments,272.07,37.42,-53.25,-29.1,-5.38,1.74,10.2,-395.48,-22.65,-10.13,-5.08,-23.41,-18.38,0.27,-9.75,-23.57,-11.75,18.49,-6.68,-5.47,-4.06,-1.64,-3.12,-1.81,-4.43,-2.62,-6.58,-
Other Investing Activities,-,-,-,-,-,-,-,-,-1,-,-,-4.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,262.23,-4.22,-56.45,-14.82,-36.06,-15.18,-4.43,-374.37,-30.06,-11.28,-6.07,-20.67,-18.45,-0.29,-10.49,-13.57,-14.23,16.67,-8.09,-6.58,-4.31,-7.38,-3.51,-2.37,-4.57,-2.84,-6.95,-
Dividends Paid,-14.8,-14.8,-12.95,-12.92,-12.91,-12.6,-11.2,-10.77,-10.77,-10.1,-8.03,-8.03,-8.02,-7.35,-5.67,-5.33,-4.73,-4.73,-3.89,-3.17,-0,-6.34,0,0,0,0,0,-
Share Issuance / Repurchase,0.37,0.42,0.49,-2.4,0.5,73.78,0.33,113.1,0.37,149.98,205.32,-5.48,0.29,147.41,0.26,58.93,0,129.6,-0.15,119.72,0,-0.02,-0.66,204.43,0,0,0,-
Debt Issued / Paid,4.97,-26.71,49.54,24.54,-0.46,-0.46,-15.47,89.53,-0.47,-0.47,0,7.27,-1.88,-0.94,14.81,-0.94,-0.94,-10.92,-0.47,-0.47,-0.47,-0.38,-0.65,-160.65,-0.65,-0.65,-0.65,-
Other Financing Activities,-282.55,-11.44,-30.59,-17.56,-26.89,-83.76,-15.75,136.59,-6.32,-159.66,-217.63,-12.79,-4.13,-157.94,-22.53,-73.36,-10.19,-143.9,-19.2,-131.93,-8.04,-17.09,-10.17,-67.56,-31.45,-27.45,-16.57,-
Financing Cash Flow,-292.01,-52.53,6.5,-8.33,-39.77,-23.03,-42.09,328.44,-17.19,-20.25,-20.34,-19.03,-13.74,-18.81,-13.14,-20.69,-15.86,-29.95,-23.71,-15.85,-8.51,-23.83,-11.48,-23.79,-32.1,-28.1,-17.22,-
Net Cash Flow,27.74,38.16,11,-6.14,-7.23,13.32,-14.13,-5.56,10.91,10.79,21.03,-31.48,9.61,13.71,9.78,-29.55,3.78,21.92,6.06,-21.08,19.74,2.4,14.19,-22.1,-3.77,-3.64,-6.73,-
Free Cash Flow,56.75,94.12,59.25,16.27,67.49,49.39,27.85,30.29,51.75,41.03,46.46,7.55,41.94,32.24,32.67,4.11,32.32,33.38,36.45,0.25,32.12,33.27,28.8,3.5,32.75,27.08,17.07,-
Free Cash Flow Growth,-15.91%,90.58%,112.70%,-46.27%,30.41%,20.37%,-40.04%,301.33%,23.38%,27.25%,42.22%,83.85%,29.77%,-3.41%,-10.39%,1568.70%,0.62%,0.32%,26.57%,-92.96%,-1.94%,22.87%,68.68%,-,-,-,-,-
Free Cash Flow Margin,44.66%,61.36%,43.72%,16.13%,73.59%,51.27%,35.26%,29.44%,61.18%,48.59%,66.61%,9.81%,61.55%,50.15%,50.50%,6.13%,48.97%,59.79%,57.53%,0.32%,49.40%,68.31%,54.64%,7.49%,77.38%,52.85%,43.15%,-
Free Cash Flow Per Share,1.05,1.77,1.11,0.31,1.25,0.93,0.53,0.57,0.98,0.78,0.90,0.14,0.81,0.63,0.64,0.08,0.64,0.69,0.75,0.01,0.68,0.70,0.61,0.20,0.73,0.60,0.38,-
