Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.74,0.11,-0.13,-0.08,-0.01
Other Operating Activities,-0.88,-0.19,0.18,-0.88,0.01
Operating Cash Flow,-0.14,-0.08,0.04,-0.97,0
Change in Investments,0,-0,0,-226.7,0
Investing Cash Flow,0,-0,0,-226.7,0
Share Issuance / Repurchase,0,0,0,218.3,0
Debt Issued / Paid,-0.2,0,0,-0.1,0.29
Other Financing Activities,0.2,-,-0.46,10.26,-0.11
Financing Cash Flow,-0,0,-0.46,228.46,0.17
Net Cash Flow,-0.14,-0.08,-0.42,0.79,0.18
Free Cash Flow,-0.14,-0.08,0.04,-0.97,0
Free Cash Flow Per Share,-0.01,-0.00,0.01,-0.19,0.00
