Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.23,2.12,3.01,4.09,-0.44,-0,-0.03
Share-Based Compensation,0.38,0.38,0.38,0.38,0.25,0,0
Other Operating Activities,-2.97,-2.59,-3.58,-4.72,-1.07,-0.09,0.01
Operating Cash Flow,-0.37,-0.09,-0.2,-0.25,-1.26,-0.09,-0.03
Share Issuance / Repurchase,0,0,0,0,238.63,0.03,0.03
Debt Issued / Paid,0,0,-0.09,-0,-0.03,0.1,0.03
Other Financing Activities,-,-,-,-,-0.55,-,-
Financing Cash Flow,0,0,-0.09,-0,238.04,0.12,0.05
Net Cash Flow,-0.37,-0.09,-0.28,-0.25,1.04,0.03,0.03
Free Cash Flow,-0.37,-0.09,-0.2,-0.25,-1.26,-0.09,-0.03
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.04,-0.02,-0.00
