Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,-90.01,-37.04,-95.26,-57.98,51.19,38.93,23.47,-4.33,17.21,9.21,1.8,0.92
Depreciation & Amortization,20.34,24.32,25.75,35.5,14.99,9.63,6.9,4.77,2.48,1.8,1.63,2.45
Share-Based Compensation,2.56,1.95,0.95,1.28,1.67,1.48,2.32,0.79,-0.04,0.51,0.4,0.32
Other Operating Activities,80.58,29.2,83.5,37.09,-38.63,-32.08,-27.29,3.68,-6.77,-6.12,-3.31,-1.7
Operating Cash Flow,13.47,18.43,14.94,15.9,29.23,17.95,5.41,4.9,12.88,5.4,0.52,1.99
Operating Cash Flow Growth,-53.92%,2.69%,176.37%,224.47%,127.00%,232.41%,947.27%,146.79%,-,-,-,-
Capital Expenditures,-14.19,-12.79,-13.77,-67.76,-67.04,-52.84,-24.43,-44.71,-17.68,-0.41,-2.45,-1.88
Acquisitions,0,0,0,0,0,0,-0.24,-0.2,0,0,-1.24,0
Change in Investments,0,0,0,-1.39,0,0,-0.5,0.14,-0.32,0,0,0
Other Investing Activities,-,-,-,-,-,-,-,0,-0,-,-,-
Investing Cash Flow,-14.19,-12.79,-13.77,-69.14,-67.04,-52.84,-25.16,-44.76,-18,-0.41,-3.68,-1.88
Share Issuance / Repurchase,3.4,0.42,0,0.47,11.42,14.74,7.28,64.54,0,0,0,-0.31
Debt Issued / Paid,-2.24,-1.91,-2.24,-4.15,-2.48,-1.13,-1.41,13.69,-0.61,-0.62,-0.51,-0.67
Other Financing Activities,-,-,-,-0.47,86.53,-0.42,0.4,1.11,0.12,0.08,0.49,0.33
Financing Cash Flow,1.16,-1.49,-2.24,-4.15,95.47,13.19,6.26,79.35,-0.5,-0.54,-0.02,-0.65
Net Cash Flow,0.47,4.12,-1.3,-58.33,58.88,-22.14,-13.38,39.32,-4.86,4.59,-3.89,-1.06
Free Cash Flow,-0.72,5.64,1.17,-51.86,-37.81,-34.9,-19.02,-39.8,-4.8,4.99,-1.93,0.11
Free Cash Flow Margin,-8.71%,20.71%,-,-265.30%,-51.87%,-63.13%,-50.88%,-95.48%,-21.72%,31.35%,-22.31%,1.49%
Free Cash Flow Per Share,-0.01,0.07,0.01,-0.64,-0.49,-0.46,-0.25,-0.56,-0.07,0.07,-0.03,0.00
