Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Net Income,19.54,29.7,23.52,21.88,20.75,23.11,19.55,20.12,18.54,8.33,0.09,12.57,1.55,12.79,12.68,16.32,13.95,16.3,8.46,12.75,1.77,1.95,2.01,3.52,8.49,11.58,8.05,6.79,5.12,7.7,3.45,6.65,6.53
Depreciation & Amortization,2.92,2.97,3.05,2.97,3.09,3.17,3.25,3.32,3.36,3.37,4.56,3.95,4.11,4.22,4.36,3.9,4.12,3.47,1.65,4.01,3.99,-1.87,4.02,3.18,3.02,3.53,3.47,3.25,3.13,3.22,3.11,4.38,1.9
Share-Based Compensation,0.63,0.66,0.5,0.52,0.53,0.51,0.44,0.48,0.5,0.55,0.41,0.62,0.6,0.57,0.45,0.49,0.85,0.43,0.27,0.4,0.43,0.37,0.35,0.35,0.32,0.35,0.24,0.23,0.23,0.25,0.27,0.2,0.21
Other Operating Activities,-9.31,-5.82,24.52,90.03,14.71,6.56,61.2,34.35,135.98,81.04,184.24,144.83,48.34,74.96,375.09,2.8,11.05,10.93,18.5,-18.05,31.65,7.22,4.94,-3.27,35.79,-21.6,43.88,12.28,-56.39,-9.52,47.64,-26.66,23.98
Operating Cash Flow,16.01,30.68,51.6,115.4,39.08,33.35,84.44,58.28,158.38,93.29,189.29,161.97,54.6,92.55,392.56,23.55,30,31.16,28.92,-0.86,37.88,7.71,11.34,3.79,47.61,-6.14,55.63,22.55,-47.91,1.65,54.47,-15.43,32.62
Operating Cash Flow Growth,-59.03%,-7.98%,-38.90%,98.02%,-75.33%,-64.26%,-55.39%,-64.02%,190.05%,0.80%,-51.78%,587.75%,82.02%,197.02%,1257.53%,-,-20.80%,304.19%,155.00%,-,-20.45%,-,-79.62%,-83.21%,-,-,2.13%,-,-,-,-,-,-
Capital Expenditures,-2.78,-1.37,-1.15,-0.37,-0.41,-0.86,-0.8,0.09,-0.5,-0.61,-0.64,-0.58,-0.77,-1.91,-0.45,-1.9,-1.28,-1.42,-1.88,-2.54,-1.37,3.47,-2.85,-1.26,-1.26,-0.76,0.15,-1,-0.56,-1.19,-1.38,-2.78,-0.71
Acquisitions,0,0,0,60.28,0,0,0.08,-2.8,0,0,0,0,0,0,69.88,0,0,0,0,0,36.15,0,0,-18.53,0.01,-5.19,0,0,0,0,0,0,-20.05
Change in Investments,-95.63,-196.55,-388.56,-260.58,-311.69,-395.11,-230.8,4.7,145.38,-369.1,-303.35,-504.71,-132.69,-73.5,-478.17,65.79,56.75,46.95,-43.83,-47.17,6.95,-41.69,-10.4,-15.41,-146.7,-2.24,-167.21,-147.84,-15.81,-50.84,-71.76,-30.29,-30.51
Other Investing Activities,-,-,0.18,-,1.34,2.67,-,-0.55,-,-,-,-,-,-,-,-,-,1.45,-,-,-,-,-,-,-,1.39,-,-20,-,-,-,-20,-
Investing Cash Flow,-98.41,-197.92,-389.52,-200.68,-310.77,-393.31,-231.52,1.44,144.88,-369.7,-303.99,-505.28,-133.46,-75.41,-408.74,63.89,55.47,46.98,-45.71,-49.71,41.74,-38.22,-13.24,-35.2,-147.95,-6.81,-167.06,-168.84,-16.36,-52.03,-73.13,-53.07,-51.28
Dividends Paid,-6.75,-6.52,-6.47,-6.47,-6.46,-6.25,-6.3,-6.33,-6.3,-6.03,-6.11,-6.24,-6.58,-5.97,-5.96,-5.84,-5.82,-5.27,-5.24,-5.23,-4.24,-3.85,-3.84,-3.19,-3.13,-2.8,-2.79,-2.14,-2.14,-2.01,-1.89,-1.89,-1.89
Share Issuance / Repurchase,-2.35,0.86,0.28,0.33,-0.39,-5.48,-4.79,0.47,0.35,-5.35,-4.78,-6.79,-20.17,-0.29,-0.17,1.11,1.13,0.35,0.58,0.87,0.48,-0.16,0.24,0.39,2.76,0.83,0.12,71.66,0.18,0.12,-0.03,0.2,0.18
Debt Issued / Paid,10.86,43.62,65.83,-17.66,-16.45,-119.86,-9.32,-115.82,-247.23,95.97,-18.71,134.36,54.1,-124.8,76.69,-88.61,19.97,-32.84,4.29,75.22,47.5,49.61,71.39,86.78,4.98,-6.73,153.28,72.87,-5.89,-11.33,-7.66,15.74,2.22
Other Financing Activities,58.32,-33.6,321.36,46.93,-53.11,509.27,405.03,-144.16,239.5,72.28,85.63,292.47,106.39,99.08,109.56,-25.16,-37.96,-69.12,-16.73,-75.15,-7.38,16.54,-216.67,63.69,123.11,-15.67,65.48,-35.16,22.06,69.41,62.68,-85.34,170.27
Financing Cash Flow,60.08,4.37,381,23.13,-76.42,377.69,384.62,-265.84,-13.68,156.86,56.03,413.79,133.74,-31.98,180.11,-118.51,-22.68,-106.88,-17.1,-4.29,36.36,62.14,-148.88,147.67,127.71,-24.37,216.09,107.24,14.22,56.18,53.1,-71.29,170.78
Net Cash Flow,-22.32,-162.87,43.07,-62.15,-348.11,17.73,237.54,-206.12,289.58,-119.56,-58.67,70.47,54.89,-14.84,163.93,-31.07,62.78,-28.73,-33.9,-54.85,115.98,31.63,-150.78,116.26,27.38,-37.31,104.66,-39.05,-50.06,5.81,34.43,-139.8,152.12
Free Cash Flow,13.23,29.32,50.45,115.03,38.66,32.48,83.64,58.37,157.88,92.68,188.65,161.39,53.84,90.64,392.11,21.65,28.72,29.74,27.04,-3.4,36.51,11.18,8.49,2.53,46.35,-6.9,55.78,21.55,-48.47,0.47,53.09,-18.21,31.91
Free Cash Flow Growth,-65.79%,-9.74%,-39.68%,97.08%,-75.51%,-64.95%,-55.66%,-63.83%,193.24%,2.25%,-51.89%,645.34%,87.48%,204.72%,1350.32%,-,-21.35%,166.14%,218.30%,-,-21.23%,-,-84.77%,-88.26%,-,-,5.06%,-,-,-,-,-,-
Free Cash Flow Margin,18.08%,31.24%,69.23%,163.15%,56.63%,42.54%,125.36%,85.86%,250.12%,160.36%,329.98%,281.22%,123.28%,145.26%,606.09%,35.16%,48.32%,44.90%,44.14%,-5.46%,69.31%,25.42%,16.76%,5.95%,109.69%,-12.78%,136.68%,52.08%,-136.40%,1.23%,159.91%,-45.38%,76.47%
Free Cash Flow Per Share,0.59,1.31,2.26,5.16,1.74,1.46,3.71,2.58,7.01,4.09,8.22,6.92,2.20,3.69,16.01,0.90,1.20,1.24,1.13,-0.14,1.75,0.58,0.44,0.15,2.95,-0.44,3.58,1.61,-4.05,0.04,4.46,-1.53,2.68
