Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.33,1.53,1.72,0.84,0.33,-0.47,0
Other Operating Activities,0.07,-1.82,-1.92,-1,-0.46,-0.12,-0.08
Operating Cash Flow,-0.26,-0.29,-0.2,-0.16,-0.13,-0.59,-0.08
Change in Investments,0.18,0,0,0,0,0,0
Investing Cash Flow,0.18,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,-0,238.28,0
Debt Issued / Paid,0,0.01,0.2,0,0,-0.11,0.11
Other Financing Activities,-,-,-,-,-,-0.42,-
Financing Cash Flow,0,0.01,0.2,0,-0,237.75,0.11
Net Cash Flow,-0.08,-0.28,-0,-0.16,-0.13,0.63,0.03
Free Cash Flow,-0.26,-0.29,-0.2,-0.16,-0.13,-0.59,-0.08
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01
