Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,41.11,-3.8,-4.34,-48.19,-1.22,-0.16,-0
Depreciation & Amortization,0,0,-0.01,0.01,0,0,0
Other Operating Activities,-41.58,3.67,11.08,40.67,0.06,0.21,-
Operating Cash Flow,-0.47,-0.13,6.73,-7.5,-1.17,0.05,-0
Capital Expenditures,0,0,0,-0.04,0,0,0
Change in Investments,0.06,0,0,0,0,0,0
Investing Cash Flow,0.06,0,0,-0.04,0,0,0
Share Issuance / Repurchase,-0.06,0,0,0,0,287.5,0.03
Debt Issued / Paid,0.47,3.01,-14.91,15.36,0,1.7,0
Other Financing Activities,-,-,-,-,-,5.46,-
Financing Cash Flow,0.41,3.01,-14.91,15.36,0,294.67,0.03
Net Cash Flow,-0,-0,-8.14,7.82,-1.17,1.47,0.02
Free Cash Flow,-0.47,-0.13,6.73,-7.54,-1.17,0.05,-0
Free Cash Flow Per Share,-0.01,-0.00,0.18,-0.07,-0.07,0.00,-
