Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Net Income,0.53,1.11,-1.61,-0.49,-0.2,2.6,1.05,12.78,7.18,5.3,5.05,2.17
Depreciation & Amortization,0.53,0.47,0.25,0.5,0.4,0.06,0.43,0.44,0.41,0.84,-0.14,-
Share-Based Compensation,0.09,0.26,0.18,0.23,0.18,0.11,0.12,0.13,0.16,0.32,-0.01,-
Other Operating Activities,63.84,154.77,130.74,47.46,105.13,363.5,32.73,78.59,-5.9,-52.42,-52.09,-2.35
Operating Cash Flow,65.21,156.81,129.77,47.91,105.72,366.47,34.56,92.18,2.18,-45.66,-46.99,-
Operating Cash Flow Growth,-38.32%,-57.21%,275.50%,-48.02%,4747.18%,-,-,-,-,-,-,-
Capital Expenditures,-2.87,-3.13,-2.1,-0.98,-1.82,-5.16,-4.14,-3.21,-0.6,-1.61,-0.58,-
Change in Investments,-134.02,-129.97,-167.1,-135.85,-69.63,-317.57,227.88,483.57,-161.16,36.67,-99.83,-
Other Investing Activities,-,-,-,-,-,-12,-,-,-,-,-,-
Investing Cash Flow,-136.89,-133.1,-169.19,-136.82,-71.46,-334.73,223.74,480.36,-161.76,35.07,-100.4,-
Dividends Paid,-0.33,-0.32,-0.32,-0.32,-0.32,-0.28,-0.27,-0.27,-0.23,-0.23,-0.23,-
Share Issuance / Repurchase,0.13,0.16,0.3,0.16,0.01,0.15,0.67,0.87,0.52,0.24,0.31,-
Debt Issued / Paid,-0.11,-3.11,-12.11,39.89,-69.77,-75.06,-299.42,-553.62,116.04,-19.62,86.99,-
Other Financing Activities,137.62,9.11,20.12,-4.98,48.19,46.07,42.48,24.82,48.88,51.11,-62.58,-
Financing Cash Flow,137.31,5.83,7.99,34.74,-21.89,-29.12,-256.54,-528.2,165.2,31.49,24.48,-
Net Cash Flow,65.62,29.55,-31.44,-54.17,12.37,2.63,1.76,44.34,5.62,20.9,-122.91,-
Free Cash Flow,62.33,153.69,127.67,46.94,103.9,361.31,30.42,88.96,1.58,-47.26,-47.56,-
Free Cash Flow Growth,-40.00%,-57.46%,319.73%,-47.24%,6479.80%,-,-,-,-,-,-,-
Free Cash Flow Margin,376.44%,944.13%,700.55%,186.98%,756.48%,2610.27%,279.41%,174.04%,3.61%,-124.54%,-134.83%,-
Free Cash Flow Per Share,15.21,38.06,31.69,11.70,25.89,90.92,7.87,23.00,0.41,-12.22,-,-
