Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,-0.02,0.26,-0.22,-0.29,-0.1,-0.15
Other Operating Activities,1.55,0.03,0.42,0.1,-0.71,0.08
Operating Cash Flow,1.54,0.29,0.19,-0.2,-0.82,-0.07
Share Issuance / Repurchase,0,0,0,0,209.46,0.03
Debt Issued / Paid,0,0,0,0,-0.2,0.2
Other Financing Activities,-,-,-,-,-3.43,-0.15
Financing Cash Flow,0,0,0,0,205.83,0.07
Net Cash Flow,1.54,0.29,0.19,-0.2,205.01,0
Free Cash Flow,1.54,0.29,0.19,-0.2,-0.82,-0.07
Free Cash Flow Per Share,0.06,0.01,0.01,-0.01,-0.12,-0.02
