Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
Net Income,9.26,22.51,-42.48,-106.9,-7.03,-137.56,-48.23,0.03,35.24,89.86,0.84,18.39,23.72,39.07,-1.69,12.89
Depreciation & Amortization,8.13,8.17,7.91,7.77,7.7,7.22,6.1,5.84,5.31,4.57,4.26,2.72,2.11,1.73,1.44,1.26
Share-Based Compensation,2.96,2.94,2.63,0.8,2.14,1.89,2.22,1.48,1.43,1.34,0.92,0.22,0.02,9.24,0.02,0.02
Other Operating Activities,42.39,-62.02,-15.22,44.37,18.56,-90.22,-47.16,-61.84,0.23,-189.56,-15.37,-41.07,-17.27,-88.94,-11.47,-17.89
Operating Cash Flow,62.74,-28.4,-47.17,-53.95,21.38,-218.67,-87.08,-54.5,42.2,-93.8,-9.35,-19.74,8.57,-38.91,-11.7,-3.72
Operating Cash Flow Growth,193.46%,-,-,-,-49.34%,-,-,-,392.43%,-,-,-,-,-,-,-
Capital Expenditures,-2.39,-2.08,-2.39,-2.56,-8.95,-12.3,-10.84,-10.66,-3.11,-4.88,-4.34,-4.92,-2.7,-3.65,-4.28,-1.66
Acquisitions,0,0,0,0,0,0,-6.93,-17.15,-24,0,0.12,-35.82,0,0,0,0
Change in Investments,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Investing Cash Flow,-2.39,-2.08,-2.39,-2.56,-8.95,-13.3,-17.77,-27.81,-27.11,-4.88,-4.22,-40.75,-2.7,-3.65,-4.28,-1.66
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,-275,0,-0.98
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,0,340.2,-4.82,3.16,1.66,-3.53
Debt Issued / Paid,-4.5,-4.5,-19.07,-1.85,-1.83,241.63,-0.05,-0.06,143.67,-0.04,-0.07,-124.73,-0.15,393.02,14.6,5.41
Other Financing Activities,0.1,-0,-1.29,-,-4.6,0.08,2.05,-0.23,-35.62,-2.74,-7.87,130.26,4.85,-1.6,-,4.3
Financing Cash Flow,-4.4,-4.5,-20.36,-1.85,-6.43,241.7,2.01,-0.29,108.05,-2.78,-7.94,345.73,-0.12,119.57,16.26,5.2
Net Cash Flow,55.95,-34.99,-69.91,-58.36,6,9.74,-102.84,-82.59,123.14,-101.46,-21.5,285.24,5.76,77.02,0.28,-0.18
Free Cash Flow,60.35,-30.49,-49.56,-56.52,12.43,-230.96,-97.92,-65.16,39.09,-98.68,-13.68,-24.67,5.88,-42.55,-15.98,-5.38
Free Cash Flow Growth,385.53%,-,-,-,-68.20%,-,-,-,565.38%,-,-,-,-,-,-,-
Free Cash Flow Margin,20.16%,-9.55%,-30.50%,-41.43%,4.53%,-118.91%,-62.73%,-35.35%,14.73%,-27.60%,-11.02%,-17.71%,3.95%,-24.14%,-24.52%,-7.24%
Free Cash Flow Per Share,0.36,-0.18,-0.30,-0.34,0.08,-1.41,-0.60,-0.40,0.24,-0.61,-0.08,-0.25,0.06,-0.47,-0.18,-0.06
