Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.47,-0.39,-0.4,-0.39,-1.32,-0.85,-0.25,-0.03
Other Operating Activities,0.23,0.76,0.12,0.04,0.87,0.65,-0.14,-0.15
Operating Cash Flow,-0.23,0.36,-0.28,-0.35,-0.45,-0.2,-0.39,-0.18
Change in Investments,-0.39,45.07,0,0,0,0,0,0
Investing Cash Flow,-0.39,45.07,0,0,0,0,0,0
Share Issuance / Repurchase,0,-45.95,0,0,0,0,58.88,0
Debt Issued / Paid,0.53,0.72,0.87,0.5,0.3,0,-0.3,0.3
Other Financing Activities,-,-,-,-,-,-,-0.61,-
Financing Cash Flow,0.53,-45.23,0.87,0.5,0.3,0,57.96,0.3
Net Cash Flow,-0.1,0.21,0.02,0.15,-0.15,-0.2,0.23,0.12
Free Cash Flow,-0.23,0.36,-0.28,-0.35,-0.45,-0.2,-0.39,-0.18
Free Cash Flow Per Share,-0.08,0.06,-0.04,-0.05,-0.06,-0.05,-0.09,-0.17
