Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,21.34,24.76,22.94,19.61,14.17,15.92,14.42,10.41,12.19,13.79,12.48,10.37,9.55,12.01,13.2
Depreciation & Amortization,1.09,1.13,1.16,1.15,1.16,1.19,1.22,1.27,1.16,1.21,3.17,1.53,1.66,1.63,-
Share-Based Compensation,1.04,0.73,0.61,0.69,0.89,0.42,0.62,0.17,0.59,0.21,0.78,0.78,0.61,0.73,-
Other Operating Activities,11.39,25.85,2.07,29.81,0.84,-0.4,12.42,0.73,-1.79,31.19,-14.8,-12.48,5.72,16.29,-13.2
Operating Cash Flow,34.85,52.45,26.78,51.26,17.06,17.14,28.68,12.57,12.14,46.4,1.63,0.2,17.54,30.66,-
Operating Cash Flow Growth,104.32%,206.07%,-6.66%,307.70%,40.49%,-63.06%,1660.83%,6094.09%,-30.79%,51.33%,-,-,-,-,-
Capital Expenditures,-0.26,-0.18,-0.56,-0.11,-0.82,-0.18,-0.49,-0.88,-0.85,-0.59,0.1,-0.28,-0.84,-0.15,-
Change in Investments,34.39,8.09,-227.3,-400.75,-585.09,-589.44,-197.42,-153.64,76.47,-40.3,3.76,-468.99,-227.54,-240.33,-
Other Investing Activities,0.98,-,1.03,2.1,1.11,-,-,-,1.01,-25,1.42,3.13,-,-,-
Investing Cash Flow,35.1,7.91,-226.83,-398.77,-584.81,-589.62,-197.91,-154.52,76.64,-65.89,5.28,-466.14,-228.38,-240.48,-
Dividends Paid,-3.08,-3.19,-3.07,-2.47,-2.49,-2.51,-2.49,-2.5,-2.48,-2.51,-2.48,-2.48,-2.52,-2.56,-
Share Issuance / Repurchase,-2.62,-0.21,-1.08,-9.23,-3.42,-0.35,-0,-2.96,-1.5,0,0,-0.12,-7.02,-2.15,-
Debt Issued / Paid,-443.22,505.62,68.75,0,0,83.83,0,0,0,0,0,0,-75,-52.78,-
Other Financing Activities,446.32,-565.27,-130.86,317.69,617.22,131.75,314.51,189.92,381.36,-682.29,150.68,793.76,435.58,318.6,-
Financing Cash Flow,-2.6,-63.05,-66.26,306,611.31,212.72,312.02,184.47,377.38,-684.8,148.19,791.17,351.03,261.12,-
Net Cash Flow,67.36,-2.68,-266.32,-41.51,43.56,-359.76,142.8,42.52,466.15,-704.29,155.1,325.23,140.2,51.3,-
Free Cash Flow,34.59,52.27,26.21,51.16,16.24,16.96,28.19,11.7,11.3,45.81,1.73,-0.08,16.7,30.51,-
Free Cash Flow Growth,112.99%,208.25%,-7.02%,337.35%,43.78%,-62.98%,1527.71%,-,-32.37%,50.16%,-,-,-,-,-
Free Cash Flow Margin,51.22%,77.86%,38.97%,84.10%,30.36%,30.35%,53.84%,25.63%,23.00%,89.63%,3.17%,-0.18%,36.93%,61.08%,-
Free Cash Flow Per Share,1.13,1.70,0.85,1.66,0.52,0.55,0.91,0.38,0.36,1.48,0.06,-0.00,0.54,0.98,-
