Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.72,0.22,-0.39,-0.39,-0.42,0,-0.01
Other Operating Activities,-1.33,-0.58,0.17,0.15,-0.22,-,0.01
Operating Cash Flow,-0.61,-0.35,-0.22,-0.25,-0.63,0,0
Share Issuance / Repurchase,0,0,0,0,172.5,-0.01,0.03
Debt Issued / Paid,0,0,0,0,-0.15,0,0
Other Financing Activities,-,-,-0.11,-0.06,5.67,-,-
Financing Cash Flow,0,0,-0.11,-0.06,178.02,-0.01,0.03
Net Cash Flow,-0.24,-0.35,-0.32,-0.31,1.44,-0.01,0.03
Free Cash Flow,-0.61,-0.35,-0.22,-0.25,-0.63,0,0
Free Cash Flow Per Share,-0.03,-0.02,-0.01,-0.01,-0.10,-,-
