Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,0.15,0.18,0.5,1.13,0.87,1.02,-1.88,0.7,1.58,1.35,2.22,1.81,-0.02,-0.07,0.05,-0.16,0.08,0.06,0.29,0.88,0,-0.02,0.87
Depreciation & Amortization,0.42,0.06,0.38,0.41,0.29,0.31,0.32,0.27,0.37,0.28,0.29,0.23,0.27,0.23,0.26,0.18,0.17,0.17,0.17,0.15,0.2,0.11,0.11
Share-Based Compensation,0.03,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Operating Activities,-0.81,-0.12,-0,-0.35,-1.49,-3.64,2.43,0.93,-1.05,-0.82,1.09,-0.4,-0.28,-0.76,0.36,0.52,-0.51,0.23,-0.32,-0.38,0.91,0.49,-0.33
Operating Cash Flow,-0.2,0.14,0.88,1.19,-0.33,-2.31,0.86,1.9,0.9,0.81,3.61,1.64,-0.03,-0.61,0.67,0.53,-0.26,0.47,0.14,0.65,1.11,0.58,0.66
Operating Cash Flow Growth,-,-,1.80%,-37.16%,-,-,-76.04%,15.98%,-,-,439.16%,207.31%,-,-,382.55%,-17.79%,-,-19.89%,-78.85%,-,-,-,-
Capital Expenditures,-0.04,-0.03,-0.01,-0.01,-0,-0,-0,-0.04,-0.01,-0.02,-0.01,-0.1,0.04,0.15,-0.65,-0.02,-0.02,-0,-0,-0.02,-0.06,-0.01,-0.24
Acquisitions,0,0,0,-0.51,0,0,0,-0.12,0,-0.27,-0.72,0,0,0,0,0,-1.16,-0.02,-0.02,-0.02,-0.02,-2.23,0
Change in Investments,-4.44,0.99,-0.26,-2.21,0.03,-1.53,0.51,-0.01,-0,0,-0,2.12,-0.01,-0.01,-0.02,-2.72,2.36,-0.27,0.1,-0.09,0.26,0.11,-0.02
Other Investing Activities,0.02,-0.63,-,-,-,-,-,-,-,-,-,-,-0.22,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-4.46,0.33,-0.27,-2.72,0.03,-1.53,0.5,-0.17,-0.01,-0.29,-0.73,2.02,-0.19,0.14,-0.66,-2.74,1.19,-0.29,0.07,-0.12,0.18,-2.13,-0.26
Share Issuance / Repurchase,0,0,0,-0.55,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debt Issued / Paid,-0,-0.01,-0,-0.63,-0.01,-0.01,-0,-0,-0.02,-0,-0,0.01,-0.03,0,0.31,-0,-0.01,-0.01,-0.09,-0.01,-0.03,-0.01,0.17
Other Financing Activities,-,-,-,0.55,-0.3,-0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Financing Cash Flow,-0,-0.01,-0,-0.63,3.23,-0.26,-0,-0,-0.02,-0,-0,0.01,-0.03,0,0.31,-0,-0.01,-0.01,-0.09,-0.01,-0.03,-0.01,0.17
Net Cash Flow,-4.71,0.69,0.37,-2.27,2.9,-4,1.21,1.81,0.94,0.43,3.08,3.78,-0.5,-0.37,0.42,-2.25,0.95,0.15,0.11,0.46,1.44,-1.7,0.6
Free Cash Flow,-0.24,0.11,0.87,1.19,-0.33,-2.31,0.86,1.86,0.9,0.78,3.6,1.53,0.01,-0.46,0.02,0.51,-0.28,0.46,0.13,0.63,1.06,0.58,0.42
Free Cash Flow Growth,-,-,1.12%,-36.24%,-,-,-76.11%,21.33%,12852.65%,-,15636.27%,200.85%,-,-,-82.93%,-19.38%,-,-19.44%,-67.87%,-,-,-,-
Free Cash Flow Margin,-2.86%,1.29%,9.75%,12.03%,-3.73%,-24.48%,8.84%,19.29%,9.39%,7.88%,33.50%,17.00%,0.12%,-7.96%,0.38%,7.48%,-4.52%,6.93%,1.87%,8.65%,15.59%,7.82%,5.74%
Free Cash Flow Per Share,-0.01,0.00,0.02,0.03,-0.01,-0.06,0.02,0.05,0.02,0.02,0.09,0.04,-,-0.01,0.00,0.01,-0.01,0.02,0.01,0.02,0.04,0.02,0.01
