Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.27,1.06,0.62,-0.07,-0.4,-0.18,-0,-0
Other Operating Activities,-1.85,-1.17,-0.76,-0.14,0.2,-0.61,-0,-0.01
Operating Cash Flow,-0.58,-0.11,-0.14,-0.2,-0.21,-0.79,-0.01,-0.01
Share Issuance / Repurchase,0,0,0,0,0,225.43,0,0
Debt Issued / Paid,0,0,-0,0,-0,-0.24,0,0.24
Other Financing Activities,-0,0,-,-,-,11.94,-0.01,-0.19
Financing Cash Flow,-0,0,-0,0,-0,237.12,-0.01,0.05
Net Cash Flow,-0.58,-0.11,-0.14,-0.2,-0.21,1.7,-0.01,0.04
Free Cash Flow,-0.58,-0.11,-0.14,-0.2,-0.21,-0.79,-0.01,-0.01
Free Cash Flow Per Share,-0.02,-0.00,-0.01,-0.01,-0.01,-0.11,-0.00,-0.00
