Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,-0.21,0.62,0.34,0.06,-0.17,-0.17,0
Other Operating Activities,0.1,-0.83,-0.45,-0.13,-0.08,-0.1,-
Operating Cash Flow,-0.11,-0.21,-0.12,-0.07,-0.25,-0.27,0
Share Issuance / Repurchase,0,0,0,0,0,140.88,0
Debt Issued / Paid,0,0,0,0,0,0,0.3
Other Financing Activities,-,0.13,0.02,0.17,-0.07,5.99,0.2
Financing Cash Flow,0,0.13,0.02,0.17,-0.07,146.86,0.5
Net Cash Flow,-0.11,-0.07,-0.09,0.11,-0.32,-0.03,0.5
Free Cash Flow,-0.11,-0.21,-0.12,-0.07,-0.25,-0.27,0
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.00,-0.01,-0.01,-
