Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-03-31
Net Income,0.92,-0.15,-0.47,-0.24,-0,-0,-
Other Operating Activities,-0.03,-0.18,0.47,0.24,0,0,-0.78
Operating Cash Flow,0.89,-0.33,-,-,0,-,-0.78
Operating Cash Flow Growth,109875.50%,-,-,-,-,-,-
Change in Investments,-1.06,0,-,-,0,-,-232.3
Investing Cash Flow,-1.06,0,-,-,0,-,-232.3
Share Issuance / Repurchase,0,0,-,-,0,-,238.9
Debt Issued / Paid,0.46,0.35,-,-,0.13,-,-0.13
Other Financing Activities,-0,-0.35,-,-,-0.12,-,-4.87
Financing Cash Flow,0.45,-0,-,-,0.01,-,233.9
Net Cash Flow,0.28,-0.33,-,-,0.01,-,0.82
Free Cash Flow,0.89,-0.33,-,-,0,-,-0.78
Free Cash Flow Growth,109875.50%,-,-,-,-,-,-
Free Cash Flow Per Share,0.03,-0.01,-,-,-,-,-
