Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,1.46,0.65,-0.14,-0.46,-0.02,-0
Other Operating Activities,-1.65,-0.78,-0.26,-0.9,0.02,0
Operating Cash Flow,-0.19,-0.13,-0.41,-1.35,-0,-
Change in Investments,0,0,0.02,-293.25,0,-
Investing Cash Flow,0,0,0.02,-293.25,0,-
Share Issuance / Repurchase,0,0,0,281.75,0,-
Debt Issued / Paid,0,0,0,-0.3,0,-
Other Financing Activities,-,-,-,14.59,-0.07,-
Financing Cash Flow,0,0,0,296.04,-0.07,-
Net Cash Flow,-0.19,-0.13,-0.39,1.44,-0.07,-
Free Cash Flow,-0.19,-0.13,-0.41,-1.35,-0,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.04,-0.00,-
