Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.01,2.57,6.42,11.12,-6.07,-0,-0
Other Operating Activities,-1.29,-2.9,-6.73,-11.16,6.06,0,0
Operating Cash Flow,-0.28,-0.32,-0.31,-0.05,-0.01,0,0
Change in Investments,0,0,0,0,-304.98,0,0
Other Investing Activities,0.12,-,-,-,-,-,-
Investing Cash Flow,0.12,0,0,0,-304.98,0,0
Share Issuance / Repurchase,0,0,0,0,313.96,0,0
Debt Issued / Paid,0,0,0,0,-1.18,0,-12.11
Other Financing Activities,-,-,-0.09,-0.43,-5.99,-,-
Financing Cash Flow,0,0,-0.09,-0.43,306.79,0,-12.11
Net Cash Flow,-0.15,-0.12,-0.4,-0.48,1.8,0,-12.11
Free Cash Flow,-0.28,-0.32,-0.31,-0.05,-0.01,0,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.00,-0.00,-,-
