Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-07
Net Income,-1.35,-0.06,0.03,0.6,-0.39,0.79,-0.05,-0
Other Operating Activities,1.46,-0.11,-0.17,-0.73,0.3,-1.76,-0.02,-
Operating Cash Flow,0.11,-0.17,-0.14,-0.12,-0.09,-0.97,-0.07,-0
Change in Investments,-0.31,0,0,0,0,0,0,0
Investing Cash Flow,-0.31,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,-70.57,0,0,-3.4,81.8,0.03,0.03
Debt Issued / Paid,0.3,0.21,0,0,0,-0.13,0.13,0.05
Other Financing Activities,-,-,-,-,3.4,-0.4,-0.06,-0.05
Financing Cash Flow,0.3,-70.36,0,0,0,81.27,0.09,0.03
Net Cash Flow,0.1,-0.05,0.01,-0.12,-0.09,0.31,0.02,0.02
Free Cash Flow,0.11,-0.17,-0.14,-0.12,-0.09,-0.97,-0.07,-0
Free Cash Flow Per Share,0.02,-0.04,-0.01,-0.01,-0.01,-0.12,-0.04,-0.00
