Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.29,0.93,0.16,-0.22,-0.35,0
Other Operating Activities,-0.54,-0.91,-0.27,-0.08,0.08,-0.01
Operating Cash Flow,-0.24,0.02,-0.11,-0.31,-0.27,-0.01
Share Issuance / Repurchase,0,0,0,0,234.25,0.03
Debt Issued / Paid,0.27,0,0.03,-0.15,0,0
Other Financing Activities,-,-,-,-,0.04,-0.01
Financing Cash Flow,0.27,0,0.03,-0.15,234.29,0.02
Net Cash Flow,-0,0.02,-0.08,-0.46,0.57,0.01
Free Cash Flow,-0.24,0.02,-0.11,-0.31,-0.27,-0.01
Free Cash Flow Per Share,-0.01,0.00,-0.00,-0.05,-0.04,-0.00
