Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Net Income,872,992.84,979.84,"1,179.5","1,322.56","1,564.08","1,547.65","1,347.44","1,204.81","1,231.88",876.51,183.41,429.92,733.56,618.18,719.94,594.73,"-2,520.29",-142.45,163.58,-
Depreciation & Amortization,76.98,0,-,-,65.97,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Share-Based Compensation,199.74,0,-,-,253.92,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Operating Activities,643.76,599.29,-979.84,"-1,179.5",368.93,212.6,"-1,547.65","-1,347.44","-1,204.81","-1,231.88",-876.51,-183.41,-429.92,-733.56,-618.18,-719.94,-594.73,-577.44,142.45,-163.58,-
Operating Cash Flow,"1,792.48","1,592.13",-,-,"2,011.38","1,776.68",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Operating Cash Flow Growth,-10.88%,-10.39%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-26.97,0,-,-,-25.31,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Acquisitions,-5.83,0,-,-,-51.46,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Change in Investments,"-7,308.62",0,-,-,"-5,987.56",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Investing Activities,"5,661.08","-2,981.2",-,-,"5,718.81","-3,430.82",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,"-1,680.35","-2,981.2",-,-,-345.52,"-3,430.82",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividends Paid,-988.59,0,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Debt Issued / Paid,-382.1,0,-,-,143.71,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Financing Activities,"1,564.48",881.09,-,-,313.25,455.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Financing Cash Flow,193.8,881.09,-,-,456.95,455.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Flow,283.03,-500.9,-,-,"2,122.12","-1,198.87",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow,"1,765.5","1,592.13",-,-,"1,986.08","1,776.68",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Growth,-11.11%,-10.39%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,45.19%,38.42%,-,-,44.91%,38.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,11.19,10.19,-,-,12.85,11.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
