Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,8.07,6.11,6.77,2.28,2.09,0.35,2.39,3.59,5.1,2.53,4.13
Depreciation & Amortization,0.22,0.21,-0.58,0.28,-0.39,-0.85,0.16,0.34,0.08,6.95,-1.48
Share-Based Compensation,0.37,0.29,0.37,0.33,0.28,0.31,0.17,0.12,0.07,0.07,0.08
Other Operating Activities,-1.85,-1.85,4.01,1.27,-1.1,1.67,0.21,-6.45,-2.66,-7.81,-7.43
Operating Cash Flow,7.98,6.18,10.57,4.16,0.88,1.49,2.93,-2.41,2.58,1.74,-4.7
Operating Cash Flow Growth,804.65%,315.96%,261.26%,-,-65.85%,-14.71%,-,-,-,-,-
Capital Expenditures,-0.71,-2.67,-3.24,-2.63,-2.32,-1.16,-2.95,-1.11,-0.4,-0.27,-0.5
Acquisitions,0,0,0,0,0,0,0,0,0,0,-0.1
Change in Investments,-110.53,-136.55,-239.86,-338.16,-481.18,-450.17,-59.18,141.77,-128.21,22.79,-24.39
Other Investing Activities,-3,-4.35,-4.9,-23.68,0.01,-0.95,0.01,0.82,1.47,-10,-
Investing Cash Flow,-114.24,-143.57,-247.99,-364.47,-483.49,-452.27,-62.12,141.48,-127.15,12.52,-25
Share Issuance / Repurchase,0,0,0.87,0.33,0.34,92.14,65.48,5.7,0.78,0.52,0.21
Debt Issued / Paid,0,-0,-18.12,-2.31,80.51,-0.25,-32.25,0,-20.38,9.63,14.63
Other Financing Activities,85.19,251.56,152.32,311.18,446.06,325.34,32.77,-29.84,179.45,75.99,-68.34
Financing Cash Flow,85.19,251.56,135.06,309.2,526.9,417.23,66,-24.14,159.85,86.13,-53.5
Net Cash Flow,-21.07,114.17,-102.36,-51.12,44.3,-33.56,6.81,114.92,35.29,100.39,-83.2
Free Cash Flow,7.27,3.5,7.34,1.53,-1.44,0.33,-0.02,-3.52,2.18,1.47,-5.2
Free Cash Flow Growth,-,974.54%,-,-,-,-77.86%,-,-,-,-,-
Free Cash Flow Margin,21.68%,10.96%,23.67%,5.97%,-6.30%,1.58%,-0.11%,-15.78%,9.94%,9.65%,-31.84%
Free Cash Flow Per Share,0.54,0.26,0.54,0.11,-0.11,0.02,-0.00,-0.29,0.18,0.12,-
