Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Net Income,-7.73,-10.83,-10.02,-3.54,-8.43,-4.99,-9.23,-14.66,-17.1,-22.31,-21.98,-16.73,-186.33,-15.05,-9.43,-3.16,-2.57,0.34,1.41,8.96,-5.72,-7.4,-1.86,-6.71,-2.39,0.73,-0.29,-1.11,-1.73,2.68,0.05,3.91,-7.83,-15.42,-8.7,-13.48,-8.81,-
Depreciation & Amortization,8.69,9.74,9.95,9.68,9.29,9.73,9.84,10.05,9.92,11.54,11.9,11.83,11.69,9.68,9.63,6.27,5.56,5.04,4.65,1.94,1.67,1.29,0.59,0.59,0.47,0.36,0.27,0.27,0.27,0.28,-0.01,0.4,0.13,0.1,0.08,0.09,0.09,-
Share-Based Compensation,0.49,0.45,1.92,0.92,0.75,0.9,0.91,1.38,1.36,1.47,1.78,0.26,2.05,1.92,2.09,2.7,2.16,1.96,1.99,2.27,3.8,2.1,1.9,2.2,2.27,2.77,2.75,3.07,3.26,3.35,3.35,3.41,4.4,5.1,4.18,7.7,4.53,-
Other Operating Activities,-17.94,9.62,-2.77,5.59,-16.69,-6.29,-2.36,3.85,-8.52,-12,6.46,29.39,168.2,-1.13,2.7,3.14,-6.16,-4.6,-6.74,-5.34,4.68,5.38,5.35,5.4,10.23,2.22,-6.94,3.7,75.25,21.67,0.9,-8.5,-3.4,0.46,3.47,0.83,-5.29,-
Operating Cash Flow,-7.44,18.02,8.12,21.67,-5.7,8.47,8.22,9.55,-5.41,-12.49,6.91,33.49,4.3,1.95,8.26,12.22,2.27,5.96,3.29,7.84,4.43,1.37,5.99,1.48,10.58,6.08,-4.2,5.93,77.05,27.99,4.3,-0.78,-6.71,-9.76,-0.97,-4.85,-9.49,-
Operating Cash Flow Growth,-,112.66%,-1.22%,126.91%,-,-,18.87%,-71.48%,-,-,-16.24%,173.94%,89.51%,-67.29%,150.84%,56.02%,-48.77%,336.28%,-45.01%,428.32%,-58.14%,-77.52%,-,-75.00%,-86.27%,-78.27%,-,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-5.1,-9.6,-2.12,-1.73,-1.33,-4.78,-0.39,-2.17,1.36,-2.21,-0.24,-0.21,-1.93,-1.51,-10.19,-11.38,-6.74,-17.37,-3,-1.87,-2.66,-1.76,-1.34,-0.32,-0.14,-2.08,-3.82,-0.27,-0.07,-0.64,-0.47,-0.23,-0.81,-0.75,-1.7,-0.55,-0.48,-
Acquisitions,-5.85,0.73,-1.85,-6.92,-0.4,2.34,-1.05,-0.9,-0.64,1.02,-0.62,-0.4,-1.44,11.42,-3.01,-0.42,-7.01,-1.43,1.9,-2.45,-1.22,-19.72,0,0.13,0,0,0,1.38,0,0,0,-5.5,0,0,0,0,0,-
Change in Investments,0,0,0,0,1.38,0,0.54,0,-0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Other Investing Activities,-0.36,-0.53,-,-,-,0,-,-,-2.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
