Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Net Income,201.84,191.89,265.43,-34.95,43.99,174.01,142.85,150.18,157.85,180.66,216.05,303.62,-312.59,140.19,118.65,124.67,114.49,34.93,72.33,50.72,44.28,38.19,27.28,20.05,18.22,13.04,7.99,-2.08
Other Operating Activities,-155.57,-97.14,-217.65,123.22,-57.52,-546.46,-423.17,-499.53,-382.89,-888.47,-882.1,-116.96,-60.53,-516.69,"-1,159.36",-295.53,"-1,053.51","-1,115.77","-1,198.23",-443.92,-616.19,-274.99,-338.79,-658.26,-166.44,-322.69,-476.52,-164.78
Operating Cash Flow,46.28,94.75,47.78,88.28,-13.53,-372.45,-280.32,-349.35,-225.05,-707.81,-666.05,186.66,-373.12,-376.5,"-1,040.71",-170.86,-939.02,"-1,080.84","-1,125.91",-393.21,-571.92,-236.8,-311.5,-638.2,-148.22,-309.64,-468.53,-166.85
Dividends Paid,-145.33,-133.9,-122.09,-122.32,-110.12,-110.33,-107.83,-109.75,-132.94,-127.87,-106.09,-125.25,-94.29,-78.7,-59.03,-44.5,-38.89,-35.38,-23.08,-16.55,-15.03,-11.45,-6.73,-5.2,-4.69,-1.37,0,0
Share Issuance / Repurchase,-22.09,-15.94,0,-10.02,0,-2.6,0,0,0,0,0,-102.29,-47.96,-0,165.34,"1,580.51",750,498.01,651.92,399.97,174.97,187.16,187.77,375,0,200.26,39.96,375.32
Debt Issued / Paid,75.52,44.99,186.24,54.55,9.27,137.8,555.64,831.08,255.34,973.12,804.63,-154.06,581.13,574.67,885.91,"-1,215.87",199.13,593.95,487.51,145.69,417.97,62.41,59.48,198.55,104.48,105.95,385.54,0
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-1.75,-0.21,-0.04,-0.01,-0.14,-0.23,-0.16,-0.47,-0.35,-0.3,-0.2,-1,-,-
Financing Cash Flow,-91.9,-104.85,64.15,-77.78,-100.85,24.87,447.81,721.33,122.4,845.25,698.54,-381.6,438.88,496.04,990.48,319.93,910.19,"1,056.57","1,116.2",528.89,577.74,237.64,240.17,568.04,99.59,303.85,425.49,375.32
Net Cash Flow,-45.63,-10.1,111.93,10.49,-114.38,-347.58,167.49,371.98,-102.65,137.45,32.48,-194.94,65.76,119.54,-50.23,149.07,-28.83,-24.27,-9.71,135.68,5.83,0.84,-71.33,-70.16,-48.63,-5.8,-43.04,208.47
Free Cash Flow,46.28,94.75,47.78,88.28,-13.53,-372.45,-280.32,-349.35,-225.05,-707.81,-666.05,186.66,-373.12,-376.5,"-1,040.71",-170.86,-939.02,"-1,080.84","-1,125.91",-393.21,-571.92,-236.8,-311.5,-638.2,-148.22,-309.64,-468.53,-166.85
Free Cash Flow Margin,12.25%,27.03%,15.21%,32.30%,-5.12%,-132.25%,-104.13%,-140.29%,-101.57%,-319.91%,-356.07%,98.12%,-182.25%,-186.15%,-553.11%,-97.00%,-619.92%,-852.20%,-1019.06%,-456.69%,-873.90%,-420.05%,-657.82%,-1943.43%,-635.78%,-1774.56%,-4368.18%,-26526.87%
Free Cash Flow Per Share,0.12,0.24,0.12,0.22,-0.03,-0.95,-0.71,-0.89,-0.57,-1.82,-1.72,0.48,-0.95,-1.16,-2.70,-0.60,-3.98,-7.38,-6.89,-3.21,-5.67,-3.53,-4.26,-11.22,-3.23,-14.51,-15.81,-20.09
