Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Net Income,-42.91,-77.27,-60.08,-100.93,-34.74,8.61,51.48,8.56,44.88,0,0,0,0,-18.21
Depreciation & Amortization,13.41,13.75,16.08,17,16.14,15.4,14.03,14.38,14.35,14.36,15.54,15.26,15.55,18.62
Share-Based Compensation,5.93,8.79,4.77,4.71,2.31,2.71,2.6,1.94,59.82,0.86,0.95,6.76,-0.07,-0.05
Other Operating Activities,228.92,100.56,"1,783.22","1,601.71","1,164.73",566.43,143.34,-417.35,"-1,996.84","-1,627.79","-1,144.65",521.81,150.72,-554.41
Operating Cash Flow,205.35,45.83,"1,743.99","1,522.49","1,148.44",593.15,211.44,-392.47,"-1,877.8","-1,612.57","-1,128.17",543.83,166.2,-554.04
Operating Cash Flow Growth,-82.12%,-92.27%,724.83%,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-6.28,-5.6,-8.77,-14.55,-14.3,-10.29,-13.43,-16.24,-14.16,-14.28,-9.21,-5.42,-5,-2.7
Acquisitions,0,0.03,0,0,-0.35,0.03,0,-1.12,0.19,-0.84,0,0.15,0.15,0.15
Change in Investments,1.17,1.59,1.79,2.22,1.89,1.65,0.62,0,0,0,0,0,0,0
Other Investing Activities,12.03,13.88,301.97,84.19,303.78,16.6,155.94,176.36,0.64,0.75,-0.71,-0.08,6.81,-8.44
Investing Cash Flow,6.92,9.89,294.99,71.86,291.03,7.99,143.12,159.01,-13.34,-14.37,-9.92,-5.35,1.96,-10.99
Dividends Paid,-0.66,-0.36,-1.8,-86.88,-30.23,-43.58,-19.43,-233.71,-166.58,-490.72,-148.54,-1.88,-1.91,-7.12
Share Issuance / Repurchase,-0.57,-0.06,-0.14,-0.07,-0.16,-0.01,-12.84,0,0,38.4,0,-38.4,0,0
Debt Issued / Paid,-303.34,-379.68,"-1,881.74","-1,065.66","-1,321.83",-541.48,-354.47,352.05,"2,320.88","1,959.08","1,392.42",-529.03,362.68,610.36
Other Financing Activities,-,-,-,-,-,0.11,-0.11,-,-,-99.03,-11.08,-2.19,-0.22,-
Financing Cash Flow,-304.57,-380.1,"-1,883.67","-1,152.61","-1,352.23",-584.96,-386.86,118.34,"2,154.3","1,407.73","1,232.8",-571.5,360.54,603.24
Net Cash Flow,-92.3,-324.37,155.3,441.74,87.24,16.18,-32.31,-115.13,263.16,-219.21,94.72,-33.02,528.7,38.21
Free Cash Flow,199.08,40.24,"1,735.22","1,507.94","1,134.14",582.86,198.01,-408.71,"-1,891.96","-1,626.85","-1,137.37",538.41,161.2,-556.74
Free Cash Flow Growth,-82.45%,-93.10%,776.35%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,95.76%,23.72%,632.85%,488.58%,225.34%,82.67%,21.43%,-52.40%,-143.77%,-125.30%,-83.08%,46.47%,33.16%,-134.06%
Free Cash Flow Per Share,1.17,0.24,10.68,9.80,8.16,4.28,1.52,-3.23,-15.04,-5.01,-3.50,1.66,0.50,-1.71
