Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,1.21,0.91,0.01,-0.58,-0.03
Other Operating Activities,-1.69,-1.3,-0.38,-0.23,0.05
Operating Cash Flow,-0.48,-0.4,-0.38,-0.81,0.02
Change in Investments,0,0,0,-293.25,0
Investing Cash Flow,0,0,0,-293.25,0
Share Issuance / Repurchase,0,0,0,296.16,-0.14
Debt Issued / Paid,0,0,0,-0.15,0.15
Other Financing Activities,-,-,-,-0.4,-
Financing Cash Flow,0,0,0,295.61,0
Net Cash Flow,-0.48,-0.4,-0.38,1.55,0.02
Free Cash Flow,-0.48,-0.4,-0.38,-0.81,0.02
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.03,0.00
