Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,1.52,0.96,0.6,0.02,-0.47,-0.5,-0,-0,-0
Other Operating Activities,-2.01,-1.26,-0.79,-0.33,0.13,-0.03,-0,-0,0
Operating Cash Flow,-0.49,-0.29,-0.19,-0.31,-0.34,-0.54,-0,-0,-
Change in Investments,0.24,0.88,0,0,0,-230,0,0,-
Investing Cash Flow,0.24,0.88,0,0,0,-230,0,0,-
Share Issuance / Repurchase,0,0,0,0,0,230,0,0.03,-
Debt Issued / Paid,0,0,0,0,0,-0.1,0,0.1,-
Other Financing Activities,-,-,-,-,-,1.64,-0.05,-0.05,-
Financing Cash Flow,0,0,0,0,0,231.54,-0.05,0.07,-
Net Cash Flow,-0.25,0.58,0.21,-0.31,-0.34,1,-0.05,0.07,-
Free Cash Flow,-0.49,-0.29,-0.19,-0.31,-0.34,-0.54,-0,-0,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.05,-,-,-
