Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,1.12,0.86,0.85,0.66,2.53,-0,0,0,-0
Other Operating Activities,-1.59,-1.06,-0.95,-0.98,-3.29,0,-,-,-
Operating Cash Flow,-0.47,-0.2,-0.1,-0.33,-0.76,-0,0,0,-0
Change in Investments,0.2,0,0,0,-175.95,0,0,0,0
Investing Cash Flow,0.2,0,0,0,-175.95,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,170.09,0,0,0,0.03
Debt Issued / Paid,0,0,0,0,-0.13,0.03,0,0,0.1
Other Financing Activities,-,-,-,0.09,7.72,-0.01,-0,-0.01,-0.11
Financing Cash Flow,0,0,0,0.09,177.68,0.02,-0,-0.01,0.01
Net Cash Flow,-0.27,-0.2,-0.1,-0.24,0.97,0.02,-0,-0.01,0.01
Free Cash Flow,-0.47,-0.2,-0.1,-0.33,-0.76,-0,0,0,-0
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.04,-,-,-,-
