Metrics,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-30,2021-07-31,2021-04-30,2021-01-31,2020-10-31
Net Income,9.42,6.43,5.72,4.94,5.57,5.91,5.44,5.74,5.29,-
Depreciation & Amortization,0.47,0.51,0.46,0.48,0.49,0.46,0.45,0.37,0.45,-
Share-Based Compensation,0.34,0.42,0.42,0.42,0.2,0,0,0,0,-
Other Operating Activities,-10.25,94.16,-140.58,-6.01,-6.28,-106.18,-5.89,-7.07,-13.28,-
Operating Cash Flow,-0.03,101.52,-133.98,-0.16,-0.03,-99.81,0,-0.95,-7.54,-
Dividends Paid,-0.91,-0.93,-0.93,-0.93,-0.93,-0.93,-0.78,-1.07,-1.07,-
Share Issuance / Repurchase,-8.32,-1.93,0,0,0,73.23,0,0,0,-
Debt Issued / Paid,-0.18,-0.17,-0.02,-0.28,-0.17,-0.16,-0.16,89.34,-10.18,-
Other Financing Activities,-,-,-,-,-,-,-,-16.45,-0.36,-
Financing Cash Flow,-9.41,-3.03,-0.96,-1.21,-1.1,72.13,-0.94,71.82,-11.61,-
Net Cash Flow,116.77,2.77,-108.8,39.46,-114,-25.89,25.76,60.41,-45.63,-
Free Cash Flow,-0.03,101.52,-133.98,-0.16,-0.03,-99.81,0,-0.95,-7.54,-
Free Cash Flow Margin,-0.10%,410.96%,-630.81%,-0.87%,-0.18%,-560.80%,-,-5.97%,-48.89%,-
Free Cash Flow Per Share,-0.00,3.71,-4.88,-0.01,-0.00,-4.22,-,-0.04,-0.36,-
