Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.56,0.3,0.01,-0.15,-0.17,-0,0,-0
Other Operating Activities,-0.59,-0.34,-0.07,0.04,-0.22,-,-,-0
Operating Cash Flow,-0.03,-0.04,-0.06,-0.12,-0.39,-0,0,-0
Share Issuance / Repurchase,0,0,0,0,118.47,0,0,0.03
Debt Issued / Paid,0,0,0,0,-0.2,0.2,0,0
Other Financing Activities,-,-,-,-,-0.42,-0.06,-,-
Financing Cash Flow,0,0,0,0,117.85,0.14,0,0.03
Net Cash Flow,0,-0.04,-0.06,-0.12,0.73,0.14,0,0.02
Free Cash Flow,-0.03,-0.04,-0.06,-0.12,-0.39,-0,0,-0
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.11,-,-,-
