Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.76,3.02,0.88,5.59,5.03,-1.1,4.64,0
Other Operating Activities,-2.93,-3.63,-1,-5.78,-5.5,1.98,-6.46,-
Operating Cash Flow,-0.17,-0.61,-0.12,-0.19,-0.47,0.88,-1.82,0
Change in Investments,0.06,0.71,0,0,0,0,0,0
Investing Cash Flow,0.06,0.71,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,-9.13,284.22,0
Debt Issued / Paid,0,0,0,0,0,0,-0.08,0
Other Financing Activities,-,-,-,-,-,8.12,-0.36,-
Financing Cash Flow,0,0,0,0,0,-1.01,283.79,0
Net Cash Flow,-0.11,0.1,-0.12,-0.19,-0.47,-0.13,1.87,0
Free Cash Flow,-0.17,-0.61,-0.12,-0.19,-0.47,0.88,-1.82,0
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.01,-0.01,0.05,-0.12,-
