Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.53,0.71,-0.09,-0.16,-,-0.01
Other Operating Activities,-0.74,-0.92,-0.03,-0.48,-0.04,0
Operating Cash Flow,-0.22,-0.21,-0.12,-0.64,-0.04,-0.01
Share Issuance / Repurchase,0,0,0,0,209.17,0
Debt Issued / Paid,0,0,0,0,-0.1,0.1
Other Financing Activities,-,-,-,-,-4,-0.09
Financing Cash Flow,0,0,0,0,205.08,0.01
Net Cash Flow,-0.22,-0.2,0.18,-0.64,0.94,0
Free Cash Flow,-0.22,-0.21,-0.12,-0.64,-0.04,-0.01
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.03,-0.01,-0.00
