Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,1.49,3.34,1.61,8.42,-0.46,0.47,9.08,-0.9
Other Operating Activities,-1.53,-3.34,-1.95,-9.15,0.31,-0.6,-9.18,0.9
Operating Cash Flow,-0.04,0,-0.33,-0.73,-0.15,-0.14,-0.1,0
Change in Investments,0,0,0,0,0,0,0,-345
Investing Cash Flow,0,0,0,0,0,0,0,-345
Share Issuance / Repurchase,0,0,0,0,0,0,0,353.9
Debt Issued / Paid,0,0,0,0,0,0,0,-0.09
Other Financing Activities,-,-,-,-,-0.32,-0.06,0,-6.9
Financing Cash Flow,0,0,0,0,-0.32,-0.06,0,346.91
Net Cash Flow,-0.04,0,-0.33,-0.73,-0.47,-0.2,-0.1,1.91
Free Cash Flow,-0.04,0,-0.33,-0.73,-0.15,-0.14,-0.1,0
Free Cash Flow Per Share,-0.00,-,-0.01,-0.02,-0.00,-0.00,-0.00,-
